Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-12-02,12.95,2022-08-22,11.55,Buy,187 Days,-6.75,Rise by 3.63%,-10.81%,-10.81%,
2022-02-01,12.08,2023-07-20,10.33,Buy,382 Days,-8.74,Rise by 2.65%,-14.49%,-25.3%,
2022-06-13,9.89,2022-08-08,11.0,Buy,40 Days,-3.18,Rise by -0.3%,11.22%,-14.07%,
2022-10-03,10.38,2023-01-30,9.8,Buy,85 Days,-4.82,Rise by -1.25%,-5.59%,-19.66%,
2023-04-05,8.69,2023-05-24,9.03,Buy,35 Days,-3.14,Rise by -4.49%,3.91%,-15.75%,
2023-12-01,9.4,2024-02-29,11.05,Buy,64 Days,-3.62,Rise by 7.66%,17.55%,1.8%,
2024-06-04,9.85,2024-08-08,11.27,Buy,47 Days,-5.26,Rise by -1.32%,14.42%,16.22%,
2024-07-01,9.5,2024-08-19,11.8,Buy,35 Days,-4.63,Rise by 10.95%,24.21%,40.43%,
2025-04-03,11.4,2025-07-11,11.63,Buy,71 Days,-6.17,Rise by -0.44%,2.02%,42.45%,
2025-05-01,10.7,2025-10-30,11.6,Buy,130 Days,-8.6,Rise by 10.28%,8.41%,50.86%,
2025-09-05,10.66,2025-10-30,11.6,Buy,39 Days,-4.11,Rise by 4.88%,8.82%,59.68%,
