Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-04-05,99.4600,2022-04-06,102.0600,1 days,2.61%,2.6141%,Rise by 7.22%,2.6141%
Buy,2022-10-13,90.1000,2022-10-24,94.8000,7 days,5.22%,5.2164%,Rise by 12.82%,7.8305%
Buy,2022-12-21,94.1200,2023-01-12,89.1800,16 days,-5.25%,-5.2486%,Rise by -4.3%,2.5819%
Buy,2023-01-23,87.2000,2023-02-08,88.9600,12 days,2.02%,2.0183%,Rise by 3.29%,4.6003%
Buy,2023-03-13,76.2800,2023-05-03,70.0800,37 days,-8.13%,-8.1279%,Rise by 1.93%,-3.5277%
Buy,2023-08-22,67.0500,2023-09-12,70.5200,15 days,5.18%,5.1752%,Rise by 8.23%,1.6476%
Buy,2024-04-15,68.9600,2024-05-01,56.3100,12 days,-18.34%,-18.3440%,Rise by -18.34%,-16.6964%
Buy,2024-05-06,55.9700,2024-05-31,59.6000,19 days,6.49%,6.4856%,Rise by 10.38%,-10.2108%
Buy,2024-10-24,56.1200,2024-11-06,61.6100,9 days,9.78%,9.7826%,Rise by 7.06%,-0.4282%
Buy,2024-12-18,45.2800,2025-01-10,48.0100,17 days,6.03%,6.0292%,Rise by 26.61%,5.6010%
Buy,2025-07-25,60.7000,2025-08-05,63.4200,7 days,4.48%,4.4811%,Rise by 36.8%,10.0820%
