Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2015-11-29,94.6300,2016-03-06,99.2800,69 days,4.91%,4.9139%,Rise by 10.77%,4.9139%,
Buy,2016-10-16,88.8000,2016-11-13,75.0900,19 days,-15.44%,-15.4392%,Rise by -12.59%,-10.5253%,
Buy,2016-12-04,77.6200,2017-01-08,82.2000,24 days,5.90%,5.9005%,Rise by 6.21%,-4.6248%,
Buy,2018-04-01,62.2100,2018-04-29,69.9500,19 days,12.44%,12.4417%,Rise by 16.03%,7.8170%,
Buy,2019-03-24,56.0400,2019-08-11,59.2900,99 days,5.80%,5.7994%,Rise by 34.48%,13.6164%,
Buy,2020-03-29,58.6000,2020-05-31,65.5700,44 days,11.89%,11.8942%,Rise by 16.64%,25.5106%,
Buy,2023-01-29,87.7800,2023-03-19,74.3700,34 days,-15.28%,-15.2768%,Rise by -15.28%,10.2338%,
Buy,2023-04-02,74.3100,2024-01-07,81.4200,199 days,9.57%,9.5680%,Rise by 1.0%,19.8018%,
Buy,2024-05-19,57.6800,2024-09-29,61.3800,94 days,6.41%,6.4147%,Rise by 15.52%,26.2165%,
Buy,2025-01-05,45.7700,2025-01-19,52.6200,9 days,14.97%,14.9661%,Rise by 51.87%,41.1826%,
