Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2020-01-21 - 2020-01-22,1 days,2020-01-27,59.33,2020-02-10,61.35,10 days,-3.4%,Fall by 10.47%,-3.4%
Sell,2020-06-04 - 2020-06-08,2 days,2020-06-11,27.49,2020-06-12,28.85,1 days,-4.9%,Fall by 10.37%,-8.4%
Sell,2020-06-12 - 2020-06-16,2 days,2020-06-19,26.09,2020-06-23,26.75,2 days,-2.5%,Fall by -26.83%,-10.9%
Sell,2020-07-31 - 2020-08-05,3 days,2020-08-13,30.29,2020-08-19,29.49,4 days,2.6%,Fall by -9.24%,-8.2%
Sell,2020-08-31 - 2020-09-04,4 days,2020-09-16,36.76,2020-09-18,35.92,2 days,2.3%,Fall by -3.21%,-6.0%
Sell,2020-10-09 - 2020-10-14,3 days,2020-10-19,43.16,2020-11-02,38.51,10 days,10.8%,Fall by -16.2%,4.8%
Buy,2021-01-15 - 2021-01-18,1 days,2021-01-28,52.35,2021-02-04,54.98,5 days,5.0%,Rise by 9.46%,9.8%
Sell,2021-02-04 - 2021-02-05,1 days,2021-02-10,53.85,2021-02-19,48.36,7 days,10.2%,Fall by 4.18%,20.0%
Sell,2021-02-05 - 2021-02-25,14 days,2021-03-17,55.6,2021-03-24,51.6,5 days,7.2%,Fall by 8.09%,27.2%
Buy,2021-03-24 - 2021-03-25,1 days,2021-04-12,55.0,2021-05-13,57.88,23 days,5.2%,Rise by 13.71%,32.5%
Buy,2021-04-19 - 2021-04-20,1 days,2021-05-05,52.88,2021-05-13,57.88,6 days,9.5%,Rise by 18.27%,41.9%
Sell,2021-05-12 - 2021-05-13,1 days,2021-05-19,58.05,2021-05-21,59.92,2 days,-3.2%,Fall by 6.51%,38.7%
Sell,2021-05-20 - 2021-05-28,6 days,2021-06-08,60.55,2021-06-18,54.27,8 days,10.4%,Fall by 10.39%,49.1%
Buy,2021-06-22 - 2021-06-28,4 days,2021-07-09,63.52,2021-07-12,68.17,1 days,7.3%,Rise by 12.2%,56.4%
Sell,2021-07-14 - 2021-07-16,2 days,2021-07-22,66.73,2021-08-09,71.27,12 days,-6.8%,Fall by 1.09%,49.6%
Sell,2021-10-07 - 2021-10-08,1 days,2021-10-20,62.99,2021-10-22,62.9,2 days,0.1%,Fall by 12.38%,49.7%
Buy,2021-10-27 - 2021-11-24,20 days,2021-11-29,56.94,2022-02-23,50.22,62 days,-11.8%,Rise by 11.13%,37.9%
Sell,2021-12-31 - 2022-01-04,2 days,2022-01-07,55.81,2022-01-18,57.69,7 days,-3.4%,Fall by 10.02%,34.6%
Buy,2022-01-07 - 2022-01-10,1 days,2022-01-19,55.46,2022-03-03,49.56,31 days,-10.6%,Rise by -10.64%,23.9%
Buy,2022-02-23 - 2022-02-24,1 days,2022-03-09,52.21,2022-03-22,55.03,9 days,5.4%,Rise by 12.91%,29.3%
Sell,2022-03-18 - 2022-03-22,2 days,2022-03-25,54.03,2022-03-28,53.77,1 days,0.5%,Fall by 9.62%,29.8%
Sell,2022-03-22 - 2022-04-08,13 days,2022-04-13,53.53,2022-04-20,55.97,5 days,-4.6%,Fall by 8.78%,25.2%
Buy,2022-04-18 - 2022-04-27,7 days,2022-04-29,51.93,2022-06-16,45.87,34 days,-11.7%,Rise by 3.58%,13.6%
Sell,2022-06-02 - 2022-06-06,2 days,2022-06-10,50.7,2022-06-17,47.18,5 days,6.9%,Fall by -13.96%,20.5%
Sell,2022-08-02 - 2022-08-04,2 days,2022-08-26,59.66,2022-09-02,58.78,5 days,1.5%,Fall by 5.95%,22.0%
Buy,2022-08-31 - 2022-09-26,18 days,2022-09-29,56.55,2023-01-26,67.62,85 days,19.6%,Rise by 5.48%,41.6%
Sell,2022-11-09 - 2022-11-11,2 days,2022-12-05,59.92,2022-12-28,56.85,17 days,5.1%,Fall by 5.34%,46.7%
Sell,2023-02-09 - 2023-02-16,5 days,2023-02-24,64.43,2023-03-01,66.84,3 days,-3.7%,Fall by 6.36%,43.0%
Buy,2023-02-28 - 2023-03-13,9 days,2023-03-21,60.72,2023-07-12,66.2,81 days,9.0%,Rise by 0.63%,52.0%
Buy,2023-03-21 - 2023-03-23,2 days,2023-03-29,60.94,2023-07-11,64.0,74 days,5.0%,Rise by 0.95%,57.0%
