Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-06-01,53.18,2021-08-11,59.0,Buy,51 Days,-4.18,Rise by 4.83%,10.94%,10.94%,
2021-10-01,54.44,2022-01-04,63.41,Buy,67 Days,-4.24,Rise by 5.8%,16.48%,27.42%,
2022-06-03,70.12,2022-08-03,76.28,Buy,43 Days,-3.57,Rise by 8.04%,8.78%,36.21%,
2023-03-01,77.97,2023-04-26,84.84,Buy,40 Days,-3.13,Rise by 0.62%,8.81%,45.02%,
2025-10-01,181.79,2025-10-01,181.79,Buy,0 Days,-4.42,Rise by 0%,0.0%,45.02%,
