Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-02-23,69.64,2021-06-01,85.87,69 days,23.310000%,23.310000%,Rise by 7.800000%,23.310000%
Buy,2021-07-06,81.18,2021-11-23,93.64,99 days,15.350000%,15.350000%,Rise by 6.520000%,38.650000%
Buy,2021-12-02,89.99,2022-01-07,104.19,25 days,15.780000%,15.780000%,Rise by 18.040000%,54.430000%
Buy,2022-04-04,100.0,2022-08-23,101.13,100 days,1.130000%,1.130000%,Rise by 6.640000%,55.560000%
Buy,2022-10-03,97.76,2022-11-11,97.55,28 days,-0.210000%,-0.210000%,Rise by 3.980000%,55.350000%
Buy,2022-12-20,95.0,2023-08-02,76.41,160 days,-19.570000%,-19.570000%,Rise by -10.260000%,35.780000%
Buy,2023-08-21,67.08,2024-02-28,75.19,136 days,12.090000%,12.090000%,Rise by 8.180000%,47.870000%
Buy,2024-04-12,68.64,2025-03-12,64.84,237 days,-5.540000%,-5.540000%,Rise by -17.960000%,42.330000%
Buy,2025-05-14,60.04,2025-07-07,66.68,37 days,11.060000%,11.060000%,Rise by 15.890000%,53.390000%
Buy,2025-07-15,63.94,2025-09-08,70.26,38 days,9.880000%,9.880000%,Rise by 29.870000%,63.280000%
