Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-12-01,340.46,2022-04-26,332.45,Buy,104 Days,-4.04,Rise by 5.81%,-2.35%,-2.35%
2022-03-01,333.16,2022-08-19,337.04,Buy,123 Days,-7.29,Rise by 4.5%,1.16%,-1.19%
2022-05-02,330.74,2022-08-19,337.04,Buy,79 Days,-3.95,Rise by -1.1%,1.9%,0.72%
2022-05-12,317.64,2022-08-04,327.36,Buy,60 Days,-3.16,Rise by 4.54%,3.06%,3.78%
2022-09-26,292.72,2022-11-18,337.37,Buy,39 Days,-3.09,Rise by 3.56%,15.25%,19.03%
2022-10-10,291.96,2022-12-06,336.46,Buy,41 Days,-3.39,Rise by 4.63%,15.24%,34.27%
2023-03-01,327.0,2023-05-04,331.33,Buy,46 Days,-3.7,Rise by -1.15%,1.32%,35.6%
2023-10-03,329.98,2023-12-26,375.35,Buy,60 Days,-3.28,Rise by 2.44%,13.75%,49.35%
2024-05-01,378.89,2024-07-23,403.49,Buy,59 Days,-3.26,Rise by 5.56%,6.49%,55.84%
2025-03-13,408.78,2025-05-22,418.82,Buy,50 Days,-3.11,Rise by 4.17%,2.46%,58.29%
2025-04-01,419.59,2025-07-09,444.52,Buy,71 Days,-6.16,Rise by -10.27%,5.94%,64.24%
