Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Buy,2020-02-27 - 2020-03-12,10 days,2020-03-17,187.6,2020-03-23,162.13,4 days,-13.6%,Rise by 3.33%,-13.6%
Buy,2020-05-07 - 2020-05-13,4 days,2020-05-15,169.25,2020-05-26,180.34,7 days,6.6%,Rise by 19.09%,-7.0%
Sell,2020-06-05 - 2020-06-08,1 days,2020-06-11,178.02,2020-06-29,177.19,12 days,0.5%,Fall by -17.25%,-6.6%
Sell,2020-08-10 - 2020-08-11,1 days,2020-08-14,210.96,2020-08-18,208.33,2 days,1.2%,Fall by 1.06%,-5.3%
Sell,2020-11-17 - 2020-11-24,5 days,2020-12-08,228.19,2020-12-09,227.51,1 days,0.3%,Fall by 0.36%,-5.0%
Sell,2021-01-11 - 2021-01-14,3 days,2021-01-25,233.01,2021-01-26,231.57,1 days,0.6%,Fall by -6.57%,-4.4%
Sell,2021-02-10 - 2021-02-16,4 days,2021-02-19,241.85,2021-02-24,248.45,3 days,-2.7%,Fall by -2.67%,-7.1%
Sell,2021-03-09 - 2021-03-10,1 days,2021-03-15,254.61,2021-03-17,252.0,2 days,1.0%,Fall by -7.63%,-6.1%
Sell,2021-05-07 - 2021-05-10,1 days,2021-05-18,287.59,2021-05-20,286.73,2 days,0.3%,Fall by 4.71%,-5.8%
Buy,2021-06-18 - 2021-07-19,21 days,2021-07-21,279.88,2022-03-17,344.97,171 days,23.3%,Rise by 4.07%,17.5%
Sell,2021-08-10 - 2021-08-11,1 days,2021-08-16,289.45,2021-08-17,289.1,1 days,0.1%,Fall by 5.7%,17.6%
Buy,2021-09-08 - 2021-09-14,4 days,2021-09-21,273.18,2021-10-20,287.49,21 days,5.2%,Rise by 6.47%,22.8%
Sell,2021-10-25 - 2021-10-26,1 days,2021-11-10,285.32,2021-11-15,284.67,3 days,0.2%,Fall by 3.62%,23.0%
Buy,2021-11-17 - 2021-12-01,10 days,2021-12-06,281.38,2022-01-05,309.92,22 days,10.1%,Rise by 15.19%,33.2%
