Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-02-01,128.97,2021-04-23,133.94,Buy,59 Days,-4.87,Rise by 0.43%,3.85%,3.85%,
2021-03-01,124.29,2021-05-19,136.6,Buy,57 Days,-6.77,Rise by 3.74%,9.9%,13.76%,
2021-10-01,139.58,2021-11-19,146.82,Buy,35 Days,-3.07,Rise by 3.47%,5.19%,18.94%,
2022-03-01,153.31,2022-04-14,158.57,Buy,32 Days,-3.34,Rise by -1.98%,3.43%,22.38%,
2022-06-06,145.32,2022-08-02,141.95,Buy,41 Days,-3.94,Rise by -0.67%,-2.32%,20.06%,
2022-06-16,133.32,2022-08-24,145.82,Buy,49 Days,-3.7,Rise by 8.27%,9.38%,29.43%,
2022-10-04,130.1,2022-12-07,150.24,Buy,46 Days,-6.02,Rise by -0.42%,15.48%,44.91%,
2023-02-09,137.05,2023-04-12,151.07,Buy,44 Days,-3.25,Rise by 2.52%,10.23%,55.14%,
2023-03-01,137.66,2023-08-07,156.92,Buy,113 Days,-6.8,Rise by 5.43%,13.99%,69.13%,
2023-06-01,143.96,2023-08-07,156.92,Buy,47 Days,-3.94,Rise by 1.81%,9.0%,78.14%,
2023-10-02,145.19,2023-11-08,150.01,Buy,27 Days,-3.21,Rise by 3.33%,3.32%,81.46%,
2024-11-01,165.1,2025-02-19,166.49,Buy,78 Days,-4.28,Rise by 1.58%,0.84%,82.3%,
2025-01-13,158.84,2025-03-07,175.95,Buy,39 Days,-3.06,Rise by 6.81%,10.77%,93.07%,
2025-08-01,150.65,2025-09-22,153.07,Buy,36 Days,-3.85,Rise by 3.16%,1.61%,94.68%,
2025-10-02,152.05,2025-10-02,152.05,Buy,0 Days,-3.12,Rise by 0%,0.0%,94.68%,
