Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2020-03-12,88.58,2020-03-13,93.0,Sell,0 days,Fall by -7.970000%,-4.99
2020-05-27,94.26,2020-06-02,98.57,Sell,3 days,Fall by -0.640000%,-4.57
2020-07-16,98.39,2020-08-11,103.02,Buy,17 days,Rise by 9.110000%,4.71
2020-08-07,103.96,2020-08-25,104.57,Buy,11 days,Rise by 3.270000%,0.59
2020-10-05,111.64,2020-10-15,113.85,Buy,7 days,Rise by 5.420000%,1.98
2021-06-14,124.12,2021-06-18,125.26,Buy,3 days,Rise by 26.470000%,0.92
2021-07-07,130.84,2021-07-20,135.05,Buy,8 days,Rise by 19.980000%,3.21
2021-11-09,155.8,2021-11-18,159.84,Buy,6 days,Rise by -10.270000%,2.59
2021-12-15,157.02,2021-12-22,155.47,Sell,4 days,Fall by 10.960000%,0.99
2022-01-05,149.27,2022-01-13,144.06,Sell,5 days,Fall by 8.400000%,3.49
2022-03-11,137.05,2022-03-18,142.16,Sell,4 days,Fall by 8.810000%,-3.73
2022-03-17,140.2,2022-07-12,142.25,Buy,82 days,Rise by 1.400000%,1.47
2022-06-24,139.35,2022-07-12,142.25,Buy,11 days,Rise by 12.010000%,2.09
2022-06-30,139.35,2022-07-12,142.25,Buy,7 days,Rise by 12.010000%,2.09
2022-07-06,142.01,2022-07-25,144.85,Buy,12 days,Rise by 9.900000%,2.0
2022-09-21,150.93,2022-09-27,147.15,Sell,3 days,Fall by 5.440000%,2.5
2022-11-01,145.69,2022-11-10,152.65,Sell,6 days,Fall by -8.490000%,-4.78
2022-11-14,150.83,2022-11-18,157.79,Sell,3 days,Fall by -4.790000%,-4.61
2023-02-08,163.78,2023-02-13,169.92,Sell,2 days,Fall by -4.250000%,-3.75
2023-04-11,180.46,2023-05-09,171.53,Sell,19 days,Fall by 7.720000%,4.95
2023-05-04,167.39,2023-05-10,174.39,Sell,3 days,Fall by -1.810000%,-4.18
2023-05-24,173.82,2023-06-09,170.42,Sell,11 days,Fall by 1.960000%,1.96
2023-05-31,179.25,2023-11-15,182.59,Buy,119 days,Rise by 1.810000%,1.86
2023-06-07,171.1,2023-06-16,177.82,Sell,6 days,Fall by -0.320000%,-3.93
2023-07-12,172.18,2023-08-01,179.43,Sell,13 days,Fall by 0.640000%,-4.21
2023-07-13,171.64,2023-08-01,179.43,Sell,12 days,Fall by 0.330000%,-4.54
2023-07-24,173.29,2023-08-02,182.56,Sell,6 days,Fall by 1.280000%,-5.35
2023-08-17,171.95,2023-09-27,166.71,Sell,28 days,Fall by 3.470000%,3.05
2023-08-18,171.44,2023-09-27,166.71,Sell,27 days,Fall by 3.180000%,2.76
2023-09-06,173.1,2023-09-26,167.3,Sell,13 days,Fall by 4.110000%,3.35
2023-09-14,176.04,2023-11-10,180.58,Buy,40 days,Rise by -1.400000%,2.58
2023-11-17,188.36,2023-12-06,192.01,Buy,12 days,Rise by 3.550000%,1.94
2024-01-16,199.13,2024-01-23,202.18,Buy,4 days,Rise by 8.600000%,1.53
2024-02-09,213.34,2024-05-08,229.43,Buy,62 days,Rise by 12.670000%,7.54
2024-02-15,214.14,2024-05-08,229.43,Buy,58 days,Rise by 12.250000%,7.14
2024-02-26,214.83,2024-05-08,229.43,Buy,51 days,Rise by 11.890000%,6.8
2024-05-03,225.32,2024-05-09,229.61,Buy,3 days,Rise by 6.680000%,1.9
2024-07-12,225.23,2024-08-06,218.35,Sell,16 days,Fall by 3.650000%,3.05
2024-07-24,225.75,2024-08-06,218.35,Sell,8 days,Fall by 0.230000%,3.28
2024-11-12,236.5,2024-12-11,238.75,Buy,20 days,Rise by 2.180000%,0.95
2024-11-18,225.8,2024-12-04,237.1,Sell,11 days,Fall by 1.840000%,-5.0
2025-01-07,230.39,2025-01-15,225.83,Sell,5 days,Fall by -5.670000%,1.98
2025-01-22,236.26,2025-01-31,244.23,Buy,6 days,Rise by 8.380000%,3.37
2025-05-20,272.77,2025-07-17,287.65,Buy,41 days,Rise by 7.610000%,5.46
2025-06-30,273.84,2025-07-17,287.65,Buy,12 days,Rise by -11.990000%,5.04
2025-07-09,273.73,2025-07-14,293.53,Sell,2 days,Fall by 11.960000%,-7.23
2025-09-08,239.63,2025-09-19,224.0,Sell,8 days,Fall by 11.200000%,6.52
2025-09-30,216.1,2025-10-07,211.35,Sell,4 days,Fall by 0.580000%,2.2
2025-10-01,212.78,2025-10-15,223.78,Sell,9 days,Fall by -0.970000%,-5.17
2025-10-02,211.55,2025-10-15,223.78,Sell,8 days,Fall by -1.560000%,-5.78
