Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-12-17,37.35,2023-10-13,29.78,475 days,2021-09-29/37.21,-20.27%,-20.27%,Rise by 16.65%,-20.27%
Buy,2024-05-15,31.32,2025-07-10,50.82,301 days,2024-03-19/31.09,62.26%,62.26%,Rise by 3.32%,41.99%
