Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-11-30,6.7500,2021-12-03,6.8700,3 days,1.78%,1.7778%,Rise by 7.41%,1.7778%
Buy,2022-01-31,6.4500,2022-02-16,6.7000,12 days,3.88%,3.8760%,Rise by 6.98%,5.6537%
Buy,2022-05-27,5.4300,2022-06-15,4.8000,13 days,-11.60%,-11.6022%,Rise by -11.6%,-5.9485%
Buy,2022-06-17,4.7600,2022-06-22,5.0800,3 days,6.72%,6.7227%,Rise by 10.92%,0.7742%
Buy,2022-09-29,4.9700,2022-10-07,5.1700,6 days,4.02%,4.0241%,Rise by 4.23%,4.7984%
Buy,2023-02-20,4.8800,2023-03-13,4.5200,15 days,-7.38%,-7.3770%,Rise by -12.91%,-2.5787%
Buy,2023-03-21,4.2900,2023-03-30,4.5300,7 days,5.59%,5.5944%,Rise by 7.93%,3.0157%
Buy,2023-08-21,4.9400,2023-09-14,4.4600,18 days,-9.72%,-9.7166%,Rise by -0.81%,-6.7009%
Buy,2023-09-15,4.5800,2023-10-02,4.7200,11 days,3.06%,3.0568%,Rise by 6.99%,-3.6441%
Buy,2023-10-20,4.3300,2023-11-06,4.5200,11 days,4.39%,4.3880%,Rise by 7.16%,0.7439%
Buy,2024-02-09,4.1600,2024-02-15,3.3500,4 days,-19.47%,-19.4712%,Rise by 3.37%,-18.7273%
Buy,2024-02-19,3.4800,2024-02-22,3.8600,3 days,10.92%,10.9195%,Rise by 23.56%,-7.8077%
Buy,2024-05-10,3.5100,2024-05-15,2.9000,3 days,-17.38%,-17.3789%,Rise by -14.53%,-25.1866%
Buy,2024-05-17,2.9100,2024-05-23,3.1900,4 days,9.62%,9.6220%,Rise by 15.46%,-15.5647%
Buy,2024-12-10,2.8200,2025-01-15,2.9300,26 days,3.90%,3.9007%,Rise by 2.48%,-11.6639%
Buy,2025-06-27,2.9400,2025-07-04,3.0800,5 days,4.76%,4.7619%,Rise by 6.8%,-6.9020%
