Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Profit [%],Holding Period (days),Backtested Win Rate [%],Backtested Number of Trades,Avg Backtested Holding Period (days),Signal Open Price
BASELINEDIVERGENCE,HDFCBANK.NS,Long,Weekly,2025-08-31,951.6,2025-11-03,992.65,4.313787305590579,45,86.21,29,66,
BASELINEDIVERGENCE,HDFCBANK.NS,Long,Weekly,2025-08-03,1006.1,2025-11-03,992.65,-1.3368452440115342,65,86.21,29,66,
BASELINEDIVERGENCE,HDFCBANK.NS,Long,Weekly,2025-07-27,1002.3,2025-11-03,992.65,-0.9627855931357855,70,86.21,29,66,
BASELINEDIVERGENCE,HDFCBANK.NS,Long,Weekly,2025-06-15,958.8,2025-11-03,992.65,3.530454735085526,100,86.21,29,66,
BASELINEDIVERGENCE,HDFCBANK.NS,Long,Weekly,2025-06-08,989.35,2025-08-10,986.95,-0.242583514428663,44,86.21,29,66,
BASELINEDIVERGENCE,HDFCBANK.NS,Long,Weekly,2025-04-20,953.35,2025-06-22,982.35,3.0419048618031153,44,86.21,29,66,
BASELINEDIVERGENCE,HDFCBANK.NS,Long,Weekly,2025-04-13,903.375,2025-06-22,982.35,8.742216687422168,49,86.21,29,66,
BASELINEDIVERGENCE,HDFCBANK.NS,Long,Weekly,2025-03-09,844.625,2025-05-11,944.85,11.866212816338614,44,86.21,29,66,
BASELINEDIVERGENCE,HDFCBANK.NS,Long,Weekly,2025-02-16,847.425,2025-05-11,944.85,11.496592618815834,59,86.21,29,66,
BASELINEDIVERGENCE,HDFCBANK.NS,Long,Weekly,2025-02-02,845.475,2025-04-13,903.375,6.848221413998046,49,86.21,29,66,
BASELINEDIVERGENCE,HDFCBANK.NS,Long,Weekly,2025-01-26,824.9,2025-04-13,903.375,9.513274336283189,54,86.21,29,66,
BASELINEDIVERGENCE,HDFCBANK.NS,Long,Weekly,2024-12-29,899.125,2025-04-13,903.375,0.4726817739468928,74,86.21,29,66,
BASELINEDIVERGENCE,HDFCBANK.NS,Long,Weekly,2024-12-22,885.75,2025-04-13,903.375,1.989839119390347,79,86.21,29,66,
BASELINEDIVERGENCE,HDFCBANK.NS,Long,Weekly,2024-11-24,872.8,2025-04-13,903.375,3.503093492208988,99,86.21,29,66,
