Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-12-01,76.4,2022-11-18,65.15,Buy,252 Days,-5.26,Rise by 4.14%,-14.73%,-14.73%
2022-03-01,71.62,2022-12-06,66.53,Buy,200 Days,-10.4,Rise by 3.32%,-7.11%,-21.83%
2022-05-02,68.47,2022-11-18,65.15,Buy,144 Days,-5.85,Rise by -0.25%,-4.85%,-26.68%
2022-05-12,65.18,2022-08-04,65.47,Buy,60 Days,-3.45,Rise by 5.74%,0.44%,-26.24%
2022-07-01,62.64,2022-12-06,66.53,Buy,112 Days,-6.69,Rise by 5.06%,6.21%,-20.03%
2022-07-14,60.44,2022-10-31,59.31,Buy,77 Days,-3.65,Rise by 8.88%,-1.87%,-21.9%
2022-09-01,60.87,2022-11-18,65.15,Buy,56 Days,-4.74,Rise by 4.01%,7.03%,-14.86%
2022-09-26,55.92,2022-11-18,65.15,Buy,39 Days,-3.24,Rise by 6.24%,16.51%,1.64%
2022-10-11,55.89,2022-12-06,66.53,Buy,40 Days,-3.03,Rise by 3.42%,19.04%,20.68%
2023-10-03,67.06,2023-12-06,72.57,Buy,46 Days,-3.19,Rise by 3.86%,8.22%,28.9%
2024-07-01,78.47,2024-09-04,81.31,Buy,47 Days,-4.07,Rise by 3.96%,3.62%,32.51%
2024-11-01,79.38,2025-02-04,79.22,Buy,67 Days,-3.98,Rise by -1.79%,-0.2%,32.31%
2025-04-04,75.02,2025-06-17,86.96,Buy,52 Days,-4.21,Rise by 13.1%,15.92%,48.23%
