Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2019-09-30,1.65,2020-06-30,2.56,Sell,195 days,Fall by -457.870000%,-54.74,
2020-12-31,8.8,2023-09-30,10.27,Buy,716 days,Rise by 52.510000%,16.73,
