Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-08-03,31.11,2021-09-07,35.0,Buy,25 Days,-3.11,Rise by 3.47%,12.5%,12.5%,
2023-02-01,42.1,2023-04-06,45.59,Buy,46 Days,-3.26,Rise by 5.7%,8.29%,20.79%,
2023-03-01,43.48,2023-08-03,37.25,Buy,111 Days,-5.25,Rise by 5.22%,-14.33%,6.47%,
2023-05-02,43.69,2023-07-27,37.76,Buy,62 Days,-3.98,Rise by 3.66%,-13.57%,-7.11%,
2023-06-01,41.85,2023-11-10,37.2,Buy,116 Days,-6.31,Rise by -14.34%,-11.11%,-18.22%,
2023-06-15,35.7,2023-11-10,37.2,Buy,106 Days,-5.29,Rise by 6.16%,4.2%,-14.02%,
2023-07-10,37.45,2023-11-10,37.2,Buy,89 Days,-3.94,Rise by 2.27%,-0.67%,-14.68%,
2024-04-02,34.47,2024-08-07,36.26,Buy,91 Days,-4.94,Rise by 2.99%,5.19%,-9.49%,
2024-07-01,32.22,2024-12-05,37.4,Buy,113 Days,-7.14,Rise by 2.2%,16.08%,6.59%,
2024-11-01,35.86,2025-02-17,41.49,Buy,76 Days,-3.96,Rise by 4.85%,15.7%,22.29%,
2025-09-01,33.28,2025-09-01,33.28,Buy,0 Days,-14.63,Rise by 0%,0.0%,22.29%,
2025-09-11,29.3,2025-09-11,29.3,Buy,0 Days,-8.63,Rise by 0%,0.0%,22.29%,
2025-10-07,29.35,2025-10-07,29.35,Buy,0 Days,-9.16,Rise by 0%,0.0%,22.29%,
