Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2020-03-05,25.74,2020-03-12,22.38,Sell,4 days,Fall by 29.420000%,13.09
2020-11-04,30.72,2020-11-11,33.24,Buy,4 days,Rise by 14.310000%,8.22
2021-01-12,37.4,2021-02-04,39.88,Buy,16 days,Rise by 11.040000%,6.6
2021-03-18,38.9,2021-03-30,40.45,Sell,7 days,Fall by 11.430000%,-3.98
2021-04-13,34.6,2021-04-16,35.9,Sell,2 days,Fall by 1.100000%,-3.76
2022-03-01,30.18,2022-03-09,29.55,Sell,5 days,Fall by 10.140000%,2.1
2022-07-08,29.88,2022-08-02,31.04,Buy,16 days,Rise by 10.730000%,3.88
2022-07-25,29.58,2022-08-02,31.04,Buy,5 days,Rise by 11.870000%,4.95
2022-07-29,31.4,2022-08-15,32.88,Buy,10 days,Rise by 5.370000%,4.71
2022-09-23,29.48,2022-09-29,28.42,Sell,3 days,Fall by 4.240000%,3.6
2023-01-20,35.24,2023-04-27,34.8,Buy,68 days,Rise by -1.190000%,-1.26
2023-03-08,34.0,2023-03-14,32.18,Sell,3 days,Fall by 2.960000%,5.34
2023-04-03,33.38,2023-04-11,34.3,Buy,5 days,Rise by 6.190000%,2.76
2023-08-15,31.93,2023-08-29,31.81,Sell,9 days,Fall by 2.430000%,0.38
2023-12-04,31.63,2023-12-13,32.96,Buy,6 days,Rise by 6.260000%,4.2
2024-05-08,28.04,2024-05-24,29.0,Sell,11 days,Fall by 1.000000%,-3.44
2024-06-03,30.62,2024-06-24,32.11,Buy,14 days,Rise by 9.370000%,4.88
2024-07-23,30.27,2024-08-29,30.5,Buy,26 days,Rise by 0.310000%,0.76
2024-09-13,31.3,2024-09-20,32.86,Buy,4 days,Rise by 3.240000%,5.0
2024-10-01,31.2,2024-10-08,30.19,Sell,4 days,Fall by 1.620000%,3.22
2024-10-03,30.14,2024-10-14,30.9,Sell,6 days,Fall by -1.810000%,-2.5
2024-11-13,30.69,2024-11-21,31.79,Sell,5 days,Fall by 5.410000%,-3.58
2024-11-26,33.33,2025-04-02,33.06,Buy,90 days,Rise by -12.030000%,-0.81
2025-01-10,29.32,2025-01-22,30.34,Sell,7 days,Fall by -1.450000%,-3.5
2025-03-18,31.2,2025-03-24,32.9,Buy,3 days,Rise by 20.480000%,5.45
2025-06-18,37.2,2025-06-26,38.46,Sell,5 days,Fall by -1.090000%,-3.39
2025-10-14,35.11,2025-10-20,36.63,Buy,3 days,Rise by 3.160000%,4.33
