Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2021-11-30,29650.6504,2021-12-08,30769.1504,6 days,3.77%,3.7723%,Rise by 8.06%,3.7723%,
Buy,2022-02-25,27953.3008,2022-03-17,28977.9004,14 days,3.67%,3.6654%,Rise by 12.36%,7.4377%,
Buy,2022-05-13,27085.6504,2022-05-17,28172.9004,2 days,4.01%,4.0141%,Rise by 5.19%,11.4518%,
Buy,2022-09-29,30185.6504,2022-10-04,31090.5996,3 days,3.00%,2.9979%,Rise by 5.89%,14.4497%,
Buy,2023-10-27,38701.8516,2023-11-03,39587.3984,5 days,2.29%,2.2881%,Rise by 23.61%,16.7378%,
Buy,2024-03-18,46501.6484,2024-03-26,47807.6484,6 days,2.81%,2.8085%,Rise by 8.34%,19.5463%,
Buy,2024-10-28,55736.6016,2024-11-06,57355.8008,7 days,2.91%,2.9051%,Rise by 6.65%,22.4514%,
Buy,2024-11-19,54548.2500,2024-11-25,55900.5508,4 days,2.48%,2.4791%,Rise by 8.97%,24.9305%,
Buy,2025-01-15,53899.0000,2025-02-14,49654.1484,22 days,-7.88%,-7.8756%,Rise by 0.52%,17.0550%,
Buy,2025-02-17,49849.8516,2025-02-20,51163.8008,3 days,2.64%,2.6358%,Rise by 5.36%,19.6908%,
Buy,2025-08-11,56479.0000,2025-08-19,57664.6484,6 days,2.10%,2.0993%,Rise by 4.63%,21.7901%,
