Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2020-03-13,256.95,2020-03-19,214.03,Sell,3 days,Fall by -8.600000%,16.7
2020-07-23,384.23,2020-07-29,364.62,Sell,3 days,Fall by 9.600000%,5.1
2020-09-02,398.49,2020-11-16,426.51,Buy,52 days,Rise by -10.270000%,7.03
2021-02-26,567.09,2021-03-08,502.19,Sell,5 days,Fall by -8.790000%,11.44
2021-03-03,543.6,2021-03-09,539.52,Sell,3 days,Fall by -13.490000%,0.75
2021-05-05,641.88,2021-05-14,647.76,Sell,6 days,Fall by -4.550000%,-0.92
2021-07-02,687.54,2021-07-12,707.81,Sell,5 days,Fall by -12.350000%,-2.95
2021-09-02,861.28,2022-08-10,566.05,Buy,243 days,Rise by -12.870000%,-34.28
2021-09-29,750.42,2021-10-06,732.5,Sell,4 days,Fall by 0.070000%,2.39
2021-12-06,756.39,2021-12-07,806.01,Sell,0 days,Fall by 14.250000%,-6.56
2021-12-14,754.39,2021-12-15,792.22,Sell,0 days,Fall by 14.030000%,-5.01
2021-12-17,749.87,2021-12-22,792.12,Sell,2 days,Fall by 13.510000%,-5.63
2021-12-31,796.14,2022-01-07,756.1,Sell,4 days,Fall by 10.160000%,5.03
2022-01-05,745.67,2022-01-21,694.73,Sell,11 days,Fall by 13.020000%,6.83
2022-03-17,654.1,2022-03-24,690.54,Buy,4 days,Rise by -14.320000%,5.57
2022-03-21,682.91,2022-08-10,566.05,Buy,101 days,Rise by -10.540000%,-17.11
2022-05-27,583.38,2022-11-21,580.29,Buy,125 days,Rise by -15.390000%,-0.53
2022-07-29,574.44,2022-11-21,580.29,Buy,80 days,Rise by -11.230000%,1.02
2022-08-25,539.74,2022-11-16,576.7,Buy,58 days,Rise by -12.720000%,6.85
2022-10-05,469.29,2022-11-10,560.79,Buy,25 days,Rise by 30.250000%,19.5
2022-10-24,472.97,2022-11-11,576.44,Buy,13 days,Rise by 29.240000%,21.88
2022-11-03,439.92,2022-11-04,468.76,Sell,0 days,Fall by -20.850000%,-6.56
2022-11-08,503.59,2022-11-15,597.47,Buy,4 days,Rise by 21.380000%,18.64
2022-11-11,576.44,2022-11-29,578.82,Buy,11 days,Rise by 6.040000%,0.41
2022-12-19,568.61,2022-12-29,551.47,Sell,7 days,Fall by -5.730000%,3.01
2023-02-23,638.09,2023-03-03,637.38,Sell,5 days,Fall by 5.780000%,0.11
2023-04-12,654.66,2023-04-20,633.57,Sell,5 days,Fall by -6.600000%,3.22
2023-05-24,666.79,2023-05-25,708.48,Sell,0 days,Fall by -4.660000%,-6.25
2023-06-20,720.41,2023-06-26,700.24,Sell,3 days,Fall by 3.290000%,2.8
2023-07-21,693.36,2023-07-28,718.37,Sell,4 days,Fall by 7.070000%,-3.61
2023-09-21,582.12,2023-10-10,602.15,Sell,12 days,Fall by 0.350000%,-3.44
2023-12-14,753.71,2024-01-25,869.08,Buy,29 days,Rise by 25.990000%,15.31
2024-07-18,924.15,2024-07-22,941.26,Sell,1 days,Fall by 12.420000%,-1.85
2024-11-29,686.61,2024-12-06,708.98,Buy,4 days,Rise by 7.080000%,3.26
2025-04-17,640.16,2025-04-23,657.98,Sell,3 days,Fall by -7.730000%,-2.78
2025-05-13,763.9,2025-06-27,795.95,Buy,32 days,Rise by 6.720000%,4.2
2025-06-05,747.76,2025-06-10,784.97,Sell,2 days,Fall by 7.770000%,-4.98
