Date,Function,Bullish Asset vs Total Asset (%),Bullish Signal vs Total Signal (%),Signal Open Price
2025-11-29,FRACTAL TRACK,3.18%,50.0%,
2025-11-29,OSCILLATOR DELTA,0.64%,100.0%,
2025-11-29,DELTADRIFT,0.0%,0%,
2025-11-29,TRENDPULSE,5.73%,100.0%,
2025-11-29,SIGMASHELL,0.0%,0%,
2025-11-29,PULSEGAUGE,0.0%,0%,
2025-11-29,BASELINEDIVERGENCE,0.64%,100.0%,
2025-11-29,All Function Combined,10.19%,76.19%,
