Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-07-01,1.3829,2022-01-18,1.3648,Buy,143 Days,-3.97,Rise by 0.51%,-1.31%,-1.31%,
2021-12-01,1.3296,2022-11-29,1.196,Buy,259 Days,-7.36,Rise by 0.21%,-10.05%,-11.36%,
2022-03-01,1.3423,2022-08-04,1.2138,Buy,112 Days,-3.4,Rise by -1.17%,-9.57%,-20.93%,
2022-04-01,1.3147,2022-11-29,1.196,Buy,172 Days,-7.15,Rise by -0.21%,-9.03%,-29.96%,
2022-05-02,1.2574,2022-11-29,1.196,Buy,151 Days,-6.93,Rise by -0.72%,-4.88%,-34.84%,
2022-05-12,1.2234,2022-11-18,1.186,Buy,136 Days,-4.16,Rise by 3.38%,-3.06%,-37.9%,
2022-06-02,1.2483,2022-11-18,1.186,Buy,121 Days,-6.93,Rise by -1.61%,-4.99%,-42.89%,
2022-07-01,1.2161,2022-11-18,1.186,Buy,100 Days,-5.02,Rise by -1.29%,-2.48%,-45.36%,
2022-07-15,1.184,2022-11-01,1.1468,Buy,77 Days,-3.07,Rise by 3.5%,-3.14%,-48.51%,
2022-09-01,1.1599,2022-12-08,1.2212,Buy,70 Days,-6.51,Rise by 0.78%,5.28%,-43.22%,
2022-09-16,1.1453,2022-11-18,1.186,Buy,45 Days,-3.01,Rise by -0.02%,3.55%,-39.67%,
2022-09-28,1.0728,2022-12-08,1.2212,Buy,51 Days,-4.57,Rise by 6.74%,13.83%,-25.84%,
2022-10-10,1.1073,2022-12-08,1.2212,Buy,43 Days,-3.44,Rise by 2.54%,10.29%,-15.55%,
2023-03-01,1.2034,2023-05-03,1.2477,Buy,45 Days,-4.33,Rise by 1.14%,3.68%,-11.87%,
2023-10-02,1.2193,2023-12-20,1.2733,Buy,57 Days,-6.73,Rise by 1.01%,4.43%,-7.44%,
2023-11-01,1.2152,2023-12-20,1.2733,Buy,35 Days,-4.2,Rise by 2.82%,4.78%,-2.66%,
2024-11-01,1.2898,2025-03-25,1.2924,Buy,102 Days,-6.39,Rise by -1.52%,0.2%,-2.46%,
2025-08-01,1.321,2025-08-01,1.321,Buy,0 Days,-4.43,Rise by 0%,0.0%,-2.46%,
