Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2021-02-04,266.49,2021-02-25,254.69,2020-11-04-2021-01-14,255.03-278.62,Sell,15 days,4.43%,Fall by -16.42%,4.43%,
2021-03-29,290.82,2021-04-26,303.04,2021-01-28-2021-03-04,266.49-264.7,Sell,20 days,-4.2%,Fall by 0.16%,0.23%,
2021-08-04,358.92,2021-08-05,362.97,2021-07-06-2021-07-20,343.45-349.18,Sell,1 days,-1.13%,Fall by 2.16%,-0.9%,
2021-09-22,343.21,2021-10-04,326.23,2021-01-14-2021-09-01,244.61-384.33,Sell,8 days,4.95%,Fall by 4.29%,4.05%,
2021-10-06,333.64,2024-02-07,469.59,2021-01-14-2021-09-01,244.61-384.33,Buy,610 days,40.75%,Rise by 9.07%,44.79%,
2021-11-12,340.89,2021-11-12,340.89,2021-07-06-2021-10-28,325.52-349.18,Sell,0 days,-0.0%,Fall by 0%,44.79%,
2021-12-23,335.24,2022-01-05,324.17,2021-09-01-2021-12-03,313.75-378.81,Sell,9 days,3.3%,Fall by 26.66%,48.09%,
2022-04-12,214.14,2022-04-20,200.42,2021-01-28-2022-03-14,192.29-264.7,Sell,6 days,6.41%,Fall by 9.55%,54.5%,
2022-04-21,188.07,2022-04-26,180.95,2022-03-14-2022-04-05,185.82-236.86,Sell,3 days,3.79%,Fall by -0.18%,58.29%,
2022-05-11,188.74,2022-05-24,181.28,2021-12-28-2022-03-14,192.29-345.2,Sell,9 days,3.95%,Fall by 11.26%,62.24%,
2022-06-15,169.35,2022-06-16,160.87,2022-05-04-2022-05-24,183.68-206.96,Sell,1 days,5.01%,Fall by 1.75%,67.25%,
2022-07-14,158.05,2022-07-19,175.78,2022-04-05-2022-06-23,159.75-231.02,Sell,3 days,-11.22%,Fall by 10.59%,56.03%,
2022-07-28,160.72,2022-08-01,159.93,2022-05-04-2022-06-23,159.75-206.96,Sell,2 days,0.49%,Fall by 11.14%,56.52%,
2022-12-12,114.71,2023-01-04,127.37,2022-07-21-2022-11-04,91.39-178.87,Sell,17 days,-11.04%,Fall by -33.11%,45.48%,
2022-12-21,119.76,2022-12-28,115.62,2022-04-05-2022-11-04,91.39-231.02,Sell,5 days,3.46%,Fall by -46.64%,48.94%,
2023-02-09,177.92,2023-02-09,177.92,2020-11-04-2022-04-27,181.21-278.62,Sell,0 days,-0.0%,Fall by 0%,48.94%,
