Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2018-07-31,172.58,2018-09-30,164.46,2012-05-31-2018-07-31,26.83-218.62,Sell,43 days,4.71%,Fall by -1.42%,4.71%,
2018-10-31,151.79,2018-11-30,140.61,2015-08-31-2018-07-31,72.0-218.62,Sell,22 days,7.37%,Fall by -18.63%,12.07%,
2019-02-28,161.45,2019-02-28,161.45,2012-05-31-2018-07-31,26.83-218.62,Buy,0 days,0.0%,Rise by 0%,12.07%,
2021-10-31,323.57,2022-01-31,313.26,2018-12-31-2021-09-30,123.02-384.33,Sell,65 days,3.19%,Fall by 48.53%,15.26%,
2022-01-31,313.26,2022-02-28,211.03,2015-08-31-2021-09-30,72.0-384.33,Sell,20 days,32.63%,Fall by 24.61%,47.89%,
2022-08-31,162.93,2022-08-31,162.93,2018-12-31-2021-09-30,123.02-384.33,Buy,0 days,0.0%,Rise by 0%,47.89%,
2023-01-31,148.97,2025-05-31,647.49,2015-08-31-2018-07-31,72.0-218.62,Buy,608 days,334.64%,Rise by 0.13%,382.54%,
