Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2001-04-30,16.9800,2003-10-31,20.9300,654 days,23.26%,23.2627%,Rise by -28.27%,23.2627%,
Buy,2009-01-31,14.9700,2009-04-30,19.3200,63 days,29.06%,29.0581%,Rise by 57.25%,52.3208%,
Buy,2011-07-31,15.9700,2011-10-31,18.5300,65 days,16.03%,16.0301%,Rise by 32.44%,68.3508%,
