Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-01-25,56.1100,2022-04-12,51.8200,55 days,-7.65%,-7.6457%,Rise by 1.96%,-7.6457%
Buy,2022-04-18,51.1100,2022-04-20,53.0200,2 days,3.74%,3.7370%,Rise by -18.37%,-3.9087%
Buy,2022-05-02,49.8600,2022-05-04,51.5800,2 days,3.45%,3.4497%,Rise by -16.33%,-0.4590%
Buy,2022-05-24,43.7700,2022-07-28,45.6200,47 days,4.23%,4.2266%,Rise by 12.79%,3.7676%
Buy,2022-09-26,40.5800,2022-10-04,41.8200,6 days,3.06%,3.0557%,Rise by 12.47%,6.8233%
Buy,2023-04-24,47.3900,2023-05-19,49.1300,19 days,3.67%,3.6717%,Rise by 9.88%,10.4950%
Buy,2023-09-27,53.2000,2023-10-02,54.3900,3 days,2.24%,2.2368%,Rise by 0.17%,12.7318%
Buy,2023-10-30,51.5700,2023-11-02,52.7500,3 days,2.29%,2.2882%,Rise by -2.04%,15.0200%
Buy,2023-11-22,48.0800,2023-12-15,49.8700,17 days,3.72%,3.7230%,Rise by 5.07%,18.7429%
Buy,2025-03-14,60.5000,2025-03-26,61.8000,8 days,2.15%,2.1488%,Rise by 2.18%,20.8917%
Buy,2025-04-23,55.6300,2025-05-02,59.3300,7 days,6.65%,6.6511%,Rise by 15.51%,27.5428%
