Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2024-02-13,119.98,2024-02-15,133.68,2023-09-14-2024-02-12,55.54-164.0,Sell,2 days,-11.42%,Fall by 19.54%,-11.42%,
2024-03-14,130.96,2024-07-19,163.4,2023-09-14-2024-02-12,55.54-164.0,Buy,91 days,24.77%,Rise by -30.57%,13.35%,
2024-06-26,164.72,2024-07-01,158.83,2024-02-12-2024-04-19,103.01-118.69,Sell,3 days,3.58%,Fall by 10.95%,16.93%,
2024-07-18,158.33,2024-07-25,149.14,2023-09-14-2024-07-09,55.54-188.75,Sell,5 days,5.8%,Fall by 20.59%,22.73%,
2024-07-22,163.55,2024-07-22,163.55,2024-04-19-2024-07-09,85.61-188.75,Buy,0 days,0.0%,Rise by 0%,22.73%,
2024-07-24,157.68,2024-07-25,149.14,2024-04-19-2024-07-09,85.61-188.75,Sell,1 days,5.42%,Fall by 20.59%,28.15%,
2024-07-25,149.14,2024-07-29,141.44,2023-10-20-2024-07-09,46.5-188.75,Sell,2 days,5.16%,Fall by 17.19%,33.31%,
2024-08-30,132.88,2024-08-30,132.88,2023-09-14-2024-07-09,55.54-188.75,Buy,0 days,0.0%,Rise by 0%,33.31%,
2024-10-03,138.24,2024-10-04,140.55,2024-07-09-2024-08-05,113.5-179.11,Sell,1 days,-1.67%,Fall by 8.46%,31.64%,
2024-10-28,150.02,2025-01-27,145.96,2024-08-05-2024-10-14,96.66-164.16,Buy,65 days,-2.71%,Rise by -10.7%,28.93%,
2024-11-08,147.48,2024-11-11,141.965,2024-08-05-2024-10-14,96.66-164.16,Sell,1 days,3.74%,Fall by 10.63%,32.67%,
2024-12-11,143.16,2024-12-18,136.56,2024-10-14-2024-11-18,130.11-153.1,Sell,5 days,4.61%,Fall by 11.32%,37.28%,
2025-01-29,147.6,2025-01-29,147.6,2024-10-14-2024-12-31,126.54-153.1,Sell,0 days,-0.0%,Fall by 0%,37.28%,
2025-02-18,160.32,2025-02-18,160.32,2024-12-31-2025-01-22,123.11-182.88,Buy,0 days,0.0%,Rise by 0%,37.28%,
2025-03-03,121.1,2025-03-10,116.38,2024-12-31-2025-01-22,123.11-182.88,Sell,5 days,3.9%,Fall by 16.03%,41.18%,
2025-05-23,127.18,2025-05-28,135.54,2024-08-23-2025-04-07,94.14-129.74,Sell,3 days,-6.57%,Fall by -6.64%,34.61%,
2025-07-08,147.79,2025-07-08,147.79,2024-10-14-2025-04-07,94.14-153.1,Sell,0 days,-0.0%,Fall by 0%,34.61%,
2025-07-14,144.54,2025-07-21,161.92,2025-04-07-2025-06-30,80.0-168.31,Sell,5 days,-12.02%,Fall by 13.51%,22.58%,
2025-07-16,153.9,2025-07-16,153.9,2024-08-05-2025-01-22,96.66-182.88,Buy,0 days,0.0%,Rise by 0%,22.58%,
2025-08-04,140.05,2025-08-07,135.57,2024-07-09-2025-04-07,94.14-179.11,Sell,3 days,3.2%,Fall by -2.99%,25.78%,
2025-08-11,141.05,2025-10-17,165.61,2025-04-07-2025-06-30,80.0-168.31,Buy,49 days,17.41%,Rise by 2.54%,43.19%,
2025-09-05,138.17,2025-09-08,139.14,2025-07-28-2025-08-20,133.13-162.037,Sell,1 days,-0.7%,Fall by -0.34%,42.49%,
