Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-12-06,185.4400,2022-01-05,165.1800,22 days,-10.93%,-10.9254%,Rise by -2.4%,-10.9254%
Buy,2022-01-11,159.2500,2022-02-01,167.1200,15 days,4.94%,4.9419%,Rise by 4.94%,-5.9835%
Buy,2022-02-24,145.4900,2022-03-02,152.0300,4 days,4.50%,4.4952%,Rise by 16.99%,-1.4883%
Buy,2022-04-18,144.8100,2022-06-14,121.8500,41 days,-15.86%,-15.8553%,Rise by -10.77%,-17.3436%
Buy,2022-09-07,144.3900,2022-11-01,149.7000,39 days,3.68%,3.6775%,Rise by 2.02%,-13.6660%
Buy,2023-08-04,169.7300,2023-09-20,159.4300,33 days,-6.07%,-6.0685%,Rise by 0.45%,-19.7345%
Buy,2023-09-27,148.1200,2023-09-29,153.1800,2 days,3.42%,3.4161%,Rise by -10.4%,-16.3183%
Buy,2023-10-17,137.8700,2023-11-02,143.6900,12 days,4.22%,4.2214%,Rise by 10.29%,-12.0970%
Buy,2025-02-25,153.7500,2025-02-27,160.5900,2 days,4.45%,4.4488%,Rise by 30.96%,-7.6482%
Buy,2025-08-28,189.9900,2025-09-23,180.5500,18 days,-4.97%,-4.9687%,Rise by -2.07%,-12.6169%
Buy,2025-09-29,177.8000,2025-10-02,181.5900,3 days,2.13%,2.1316%,Rise by -4.48%,-10.4853%
