Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2022-05-02,373.27,2022-08-18,388.41,Buy,78 Days,-5.7,Rise by -4.63%,4.06%,4.06%,
2022-05-19,337.22,2022-08-18,388.41,Buy,65 Days,-3.32,Rise by 7.96%,15.18%,19.24%,
2022-06-13,321.47,2022-08-18,388.41,Buy,48 Days,-3.2,Rise by 7.02%,20.82%,40.06%,
2022-09-01,346.22,2022-11-04,310.53,Buy,46 Days,-3.08,Rise by 4.06%,-10.31%,29.75%,
2022-09-26,317.24,2022-11-18,338.62,Buy,39 Days,-3.5,Rise by 3.65%,6.74%,36.49%,
2022-10-10,307.11,2022-12-16,326.07,Buy,49 Days,-4.1,Rise by 2.09%,6.17%,42.66%,
2022-11-03,306.55,2022-12-16,326.07,Buy,31 Days,-3.1,Rise by 12.31%,6.37%,49.03%,
2024-05-01,489.37,2024-07-18,579.7,Buy,56 Days,-5.24,Rise by 9.55%,18.46%,67.49%,
2024-08-01,547.48,2024-10-18,603.56,Buy,56 Days,-6.04,Rise by 6.31%,10.24%,77.73%,
2025-03-03,578.36,2025-05-20,612.92,Buy,56 Days,-3.53,Rise by -2.08%,5.98%,83.71%,
2025-03-13,546.44,2025-05-07,564.51,Buy,39 Days,-3.08,Rise by 5.61%,3.31%,87.02%,
2025-04-01,546.94,2025-09-25,736.83,Buy,127 Days,-12.84,Rise by -14.0%,34.72%,121.73%,
2025-04-16,507.75,2025-06-20,628.48,Buy,47 Days,-3.01,Rise by 11.78%,23.78%,145.51%,
