Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2019-04-14,59.895,2019-08-25,49.11,Buy,94 Days,19.9,Rise by -10.19%,-18.01%,-18.01%,
2019-06-02,57.62,2019-06-23,64.26,Sell,14 Days,-15.29,Fall by 14.77%,-11.52%,-29.53%,
2021-01-24,47.81,2021-02-14,57.65,Buy,14 Days,8.07,Rise by 39.22%,20.58%,-8.95%,
2021-10-03,55.48,2021-10-17,51.58,Sell,9 Days,-12.57,Fall by 14.37%,7.03%,-1.92%,
2023-06-11,10.45,2023-12-03,13.14,Buy,124 Days,20.25,Rise by 19.43%,25.74%,23.82%,
2025-01-19,13.41,2025-03-09,12.41,Sell,34 Days,-15.14,Fall by 11.11%,7.46%,31.28%,
2025-07-06,16.15,2025-08-03,13.62,Buy,19 Days,11.9,Rise by -16.97%,-15.67%,15.61%,
