Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-01-04,0.8831,2021-03-12,0.9247,Buy,49 Days,-3.28,Rise by 0.74%,4.71%,4.71%,
2021-11-01,0.9161,2022-03-21,0.9329,Buy,100 Days,-5.09,Rise by 1.55%,1.83%,6.54%,
2022-07-01,0.9551,2022-10-03,0.9857,Buy,66 Days,-5.35,Rise by 2.89%,3.2%,9.75%,
2022-08-01,0.9531,2022-10-03,0.9857,Buy,45 Days,-5.19,Rise by 0.95%,3.42%,13.17%,
2022-12-02,0.9364,2023-10-06,0.9126,Buy,220 Days,-11.03,Rise by -0.06%,-2.54%,10.63%,
2022-12-14,0.929,2023-02-22,0.9275,Buy,50 Days,-3.73,Rise by 0.73%,-0.16%,10.47%,
2023-01-02,0.9238,2023-03-07,0.9307,Buy,46 Days,-5.09,Rise by -0.16%,0.75%,11.21%,
2023-02-01,0.9162,2023-05-23,0.8983,Buy,79 Days,-3.36,Rise by 1.12%,-1.95%,9.26%,
2024-01-03,0.8501,2024-04-01,0.902,Buy,63 Days,-5.41,Rise by 0.27%,6.11%,15.36%,
2024-08-02,0.8729,2024-10-09,0.8574,Buy,48 Days,-3.49,Rise by -0.05%,-1.78%,13.59%,
2024-09-06,0.8438,2024-10-22,0.8654,Buy,32 Days,-3.19,Rise by 0.84%,2.56%,16.15%,
2024-10-01,0.8453,2024-12-24,0.8985,Buy,60 Days,-6.37,Rise by 1.8%,6.29%,22.44%,
2025-04-03,0.8768,2025-04-03,0.8768,Buy,0 Days,-4.5,Rise by 0%,0.0%,22.44%,
2025-05-01,0.826,2025-05-01,0.826,Buy,0 Days,-20.11,Rise by 0%,0.0%,22.44%,
