Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2021-03-08,52.38,2022-12-13,38.59,460 days,-26.330000%,-26.330000%,Rise by 3.800000%,-26.330000%,
Buy,2023-08-15,38.92,2024-07-18,43.16,241 days,10.890000%,10.890000%,Rise by 2.240000%,-15.430000%,
Buy,2024-11-13,43.19,2025-06-17,46.61,153 days,7.920000%,7.920000%,Rise by 3.610000%,-7.510000%,
