Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2008-11-30,22.95,2021-11-30,48.84,3390 days,112.810000%,112.810000%,Rise by 80.830000%,112.810000%
Buy,2022-05-31,42.64,2024-08-31,43.37,588 days,1.710000%,1.710000%,Rise by -19.820000%,114.520000%
