Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Profit [%],Holding Period (days),Backtested Win Rate [%],Backtested Number of Trades,Avg Backtested Holding Period (days),Signal Open Price
FRACTAL TRACK,TCEHY,Short,Daily,2025-07-31,70.07,2025-08-01,67.91,3.0826316540602208,1,89.86,69,5,
FRACTAL TRACK,TCEHY,Short,Daily,2025-06-16,64.88,2025-06-17,65.12,-0.3699136868064259,1,89.86,69,5,
FRACTAL TRACK,TCEHY,Long,Daily,2025-06-03,64.26,2025-08-18,75.02,16.744475568004965,54,100.0,15,375,
FRACTAL TRACK,TCEHY,Short,Daily,2025-04-28,61.78,2025-07-14,63.66,-3.0430560051796625,55,89.86,69,5,
FRACTAL TRACK,TCEHY,Long,Daily,2025-04-23,61.43,2025-08-18,75.02,22.12274133159693,83,100.0,15,375,
FRACTAL TRACK,TCEHY,Short,Daily,2025-04-08,53.99,2025-04-22,60.1,-11.3169105389887,10,89.86,69,5,
FRACTAL TRACK,TCEHY,Short,Daily,2025-04-07,55.27,2025-04-11,57.4,-3.853808576081048,4,89.86,69,5,
FRACTAL TRACK,TCEHY,Short,Daily,2025-04-04,59.91,2025-04-07,55.27,7.744950759472531,1,89.86,69,5,
FRACTAL TRACK,TCEHY,Long,Daily,2025-04-02,64.02,2025-08-11,71.16,11.152764761012184,93,100.0,15,375,
FRACTAL TRACK,TCEHY,Short,Daily,2025-04-01,64.58,2025-04-02,64.02,0.867141529885417,1,89.86,69,5,
FRACTAL TRACK,TCEHY,Long,Daily,2023-03-14,44.39,2025-09-22,82.75,86.41585942779905,659,100.0,15,375,
