Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type
2015-11-22,41.46,2016-05-08,39.47,2015-11-15,Buy,24 Weeks,-4.8%,Rise by -11.14%,-4.8%,Absolute Extrema Case
2015-12-27,40.14,2016-05-08,39.47,2015-12-13,Buy,19 Weeks,-1.67%,Rise by -11.76%,-6.47%,Normal Case
2016-02-14,35.42,2016-05-08,39.47,2016-01-24,Buy,12 Weeks,11.43%,Rise by 15.56%,4.97%,Absolute Extrema Case
2016-05-01,40.48,2016-10-09,41.21,2016-04-24,Buy,23 Weeks,1.8%,Rise by 2.94%,6.77%,Normal Case
2016-05-08,39.47,2016-10-09,41.21,2016-04-17,Buy,22 Weeks,4.41%,Rise by 5.57%,11.18%,Normal Case
2016-08-07,40.56,2016-10-09,41.21,2016-07-24,Buy,9 Weeks,1.6%,Rise by 7.54%,12.78%,Normal Case
2016-08-21,41.37,2017-01-01,40.27,2016-08-14,Buy,19 Weeks,-2.66%,Rise by 5.44%,10.12%,Normal Case
2016-09-11,41.01,2017-01-01,40.27,2016-09-04,Buy,16 Weeks,-1.8%,Rise by 6.36%,8.32%,Normal Case
2016-10-16,40.57,2017-01-01,40.27,2016-07-03,Buy,11 Weeks,-0.74%,Rise by 7.52%,7.58%,Local Extrema Case
2016-10-30,40.71,2017-01-01,40.27,2016-10-23,Buy,9 Weeks,-1.08%,Rise by 7.15%,6.5%,Normal Case
2017-01-01,40.27,2017-03-12,42.63,2016-12-25,Buy,10 Weeks,5.86%,Rise by 8.32%,12.36%,Normal Case
2017-01-29,42.01,2017-04-09,43.43,2017-01-22,Buy,10 Weeks,3.38%,Rise by 3.83%,15.74%,Normal Case
2017-03-19,43.57,2017-06-18,46.16,2017-03-05,Buy,13 Weeks,5.94%,Rise by 7.11%,21.68%,Normal Case
2017-03-26,43.62,2017-06-18,46.16,2017-03-19,Buy,12 Weeks,5.82%,Rise by 6.99%,27.5%,Normal Case
2017-04-02,43.62,2017-06-18,46.16,2017-03-26,Buy,11 Weeks,5.82%,Rise by 6.99%,33.33%,Normal Case
2017-05-21,45.93,2017-08-27,47.33,2017-05-07,Buy,14 Weeks,3.05%,Rise by 9.06%,36.38%,Normal Case
