Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2013-06-30,36.2700,2013-08-18,37.5300,34 days,3.47%,3.4739%,Rise by 4.08%,3.4739%,
Buy,2014-10-26,32.7700,2015-01-18,30.4800,59 days,-6.99%,-6.9881%,Rise by -10.44%,-3.5142%,
Buy,2015-02-08,29.9800,2015-03-01,30.8200,14 days,2.80%,2.8019%,Rise by 5.8%,-0.7123%,
Buy,2019-01-13,27.2400,2019-02-24,27.8600,29 days,2.28%,2.2761%,Rise by 2.83%,1.5638%,
Buy,2019-09-08,25.3900,2019-10-27,26.1700,34 days,3.07%,3.0721%,Rise by 5.28%,4.6359%,
Buy,2020-03-29,23.5600,2020-06-07,24.7800,49 days,5.18%,5.1783%,Rise by 10.65%,9.8141%,
Buy,2024-01-07,31.9200,2024-01-21,32.9000,9 days,3.07%,3.0702%,Rise by 4.67%,12.8843%,
