Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1997-03-31,9.13,1997-09-30,24.05,131 days,1996-12-31/6.0648,163.33%,163.33%,Rise by -16.33%,163.33%,
Buy,1999-06-30,28.92,1999-12-31,55.4,132 days,1997-09-30/24.0463,91.58%,91.58%,Rise by 122.95%,254.91%,
Buy,2000-06-30,64.47,2000-09-30,47.21,65 days,1999-12-31/55.3977,-26.77%,-26.77%,Rise by -50.85%,228.14%,
Buy,2005-12-31,29.34,2007-09-30,48.01,454 days,2003-12-31/29.2938,63.65%,63.65%,Rise by 9.83%,291.79%,
Buy,2009-12-31,44.27,2013-06-30,79.11,911 days,2007-12-31/40.6364,78.69%,78.69%,Rise by -12.79%,370.47%,
Buy,2013-09-30,98.76,2017-09-30,171.2,1044 days,2013-06-30/79.11,73.35%,73.35%,Rise by 9.18%,443.82%,
Buy,2017-12-31,173.82,2019-12-31,295.94,521 days,2017-09-30/171.2,70.26%,70.26%,Rise by -10.47%,514.08%,
Buy,2020-06-30,368.03,2021-03-31,617.36,196 days,2019-12-31/295.94,67.75%,67.75%,Rise by 116.32%,581.83%,
Buy,2021-06-30,690.84,2022-06-30,475.88,261 days,2021-03-31/617.36,-31.12%,-31.12%,Rise by -31.12%,550.71%,
Buy,2024-03-31,970.47,2024-12-31,693.08,196 days,2021-12-31/796.14,-28.58%,-28.58%,Rise by -28.58%,522.13%,
Buy,2025-11-03,1059.23,2025-11-03,1059.23,0 days,2024-06-30/1022.73,0.00%,0.00%,Rise by 0%,522.13%,
