Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2019-12-19 - 2019-12-30,7 days,2020-01-07,20.5093,2020-01-10,20.2644,3 days,1.2%,Fall by 11.13%,1.2%
Buy,2020-03-05 - 2020-03-12,5 days,2020-03-19,5.4848,2020-03-20,5.95,1 days,8.5%,Rise by 115.71%,9.7%
Sell,2020-04-29 - 2020-04-30,1 days,2020-05-14,11.332,2020-05-15,11.7483,1 days,-3.7%,Fall by -0.82%,6.0%
Sell,2020-05-12 - 2020-05-19,5 days,2020-05-22,12.4143,2020-05-25,12.2919,1 days,1.0%,Fall by 7.97%,7.0%
Sell,2020-06-04 - 2020-06-08,2 days,2020-06-11,11.8756,2020-06-19,11.4251,6 days,3.8%,Fall by 9.2%,10.8%
Buy,2020-06-19 - 2020-06-26,5 days,2020-07-02,11.7826,2020-07-21,12.5024,13 days,6.1%,Rise by 6.11%,16.9%
Sell,2020-08-10 - 2020-08-11,1 days,2020-08-14,13.237,2020-08-24,13.0607,6 days,1.3%,Fall by 12.58%,18.2%
Buy,2020-09-21 - 2020-09-24,3 days,2020-09-28,10.9598,2020-10-08,11.621,8 days,6.0%,Rise by 43.66%,24.3%
Sell,2020-10-13 - 2020-10-14,1 days,2020-10-19,11.2488,2020-10-23,10.9843,4 days,2.4%,Fall by -29.6%,26.6%
Sell,2020-11-24 - 2020-12-04,8 days,2020-12-22,14.5788,2020-12-23,15.1469,1 days,-3.9%,Fall by 2.96%,22.7%
Sell,2021-01-07 - 2021-01-08,1 days,2021-01-14,16.1655,2021-01-19,15.4652,3 days,4.3%,Fall by 10.51%,27.0%
Sell,2021-02-17 - 2021-02-18,1 days,2021-02-26,16.998,2021-03-01,17.6738,1 days,-4.0%,Fall by -4.73%,23.1%
Sell,2021-06-07 - 2021-06-08,1 days,2021-06-17,21.1998,2021-06-21,21.9834,2 days,-3.7%,Fall by 9.47%,19.4%
Sell,2021-09-07 - 2021-09-15,6 days,2021-09-20,20.1861,2021-09-22,21.1802,2 days,-4.9%,Fall by -23.87%,14.4%
Sell,2021-10-15 - 2021-10-18,1 days,2021-10-27,25.2204,2021-10-28,25.9256,1 days,-2.8%,Fall by 0.85%,11.6%
Buy,2021-11-19 - 2021-11-22,1 days,2021-12-16,24.9804,2021-12-29,26.2488,9 days,5.1%,Rise by 68.5%,16.7%
Sell,2021-11-25 - 2021-12-07,8 days,2021-12-14,24.8531,2021-12-24,25.7003,8 days,-3.4%,Fall by -47.9%,13.3%
Sell,2022-01-13 - 2022-01-18,3 days,2022-01-24,30.5093,2022-01-25,31.3369,1 days,-2.7%,Fall by -20.48%,10.6%
Sell,2022-03-01 - 2022-03-03,2 days,2022-03-15,36.1557,2022-03-17,37.9187,2 days,-4.9%,Fall by -1.67%,5.7%
Sell,2022-04-14 - 2022-04-18,2 days,2022-04-25,38.2223,2022-04-26,38.0656,1 days,0.4%,Fall by 3.83%,6.1%
Buy,2022-05-11 - 2022-05-12,1 days,2022-05-30,42.6249,2022-06-15,37.7963,12 days,-11.3%,Rise by -11.33%,-5.2%
Sell,2022-05-30 - 2022-05-31,1 days,2022-06-06,41.1459,2022-06-14,38.4329,6 days,6.6%,Fall by 19.83%,1.4%
Sell,2022-08-22 - 2022-08-29,5 days,2022-09-01,35.46,2022-09-12,36.53,7 days,-3.0%,Fall by 10.15%,-1.6%
Sell,2022-10-21 - 2022-10-24,1 days,2022-11-08,40.81,2022-11-10,40.605,2 days,0.5%,Fall by 12.03%,-1.1%
Buy,2022-12-08 - 2022-12-16,6 days,2022-12-20,36.67,2023-01-17,39.125,20 days,6.7%,Rise by 12.83%,5.6%
Sell,2023-01-17 - 2023-01-18,1 days,2023-01-25,39.885,2023-01-27,41.375,2 days,-3.7%,Fall by 6.63%,1.8%
Sell,2023-01-23 - 2023-01-27,4 days,2023-02-01,39.35,2023-02-03,38.865,2 days,1.2%,Fall by 5.36%,3.1%
Buy,2023-02-22 - 2023-03-15,15 days,2023-03-17,34.325,2023-04-03,39.7,11 days,15.7%,Rise by 20.68%,18.7%
Sell,2023-04-05 - 2023-04-10,3 days,2023-04-18,40.92,2023-04-21,40.495,3 days,1.0%,Fall by 9.36%,19.8%
Sell,2023-08-09 - 2023-08-11,2 days,2023-08-16,40.43,2023-08-18,41.7,2 days,-3.1%,Fall by -2.28%,16.6%
Sell,2023-09-06 - 2023-09-08,2 days,2023-09-15,43.57,2023-09-26,43.555,7 days,0.0%,Fall by 5.1%,16.7%
Buy,2023-09-22 - 2023-10-05,9 days,2023-10-10,44.27,2024-03-01,48.85,103 days,10.3%,Rise by 5.36%,27.0%
Sell,2023-10-17 - 2023-10-18,1 days,2023-10-23,44.285,2023-10-30,44.05,5 days,0.5%,Fall by 2.83%,27.5%
