Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2020-12-01,157.5,2021-06-15,141.05,Buy,140 Days,-3.13,Rise by 0.81%,-10.44%,-10.44%,
2021-02-01,152.0,2021-06-15,141.05,Buy,96 Days,-5.27,Rise by -1.46%,-7.2%,-17.65%,
2021-03-01,141.06,2021-12-08,148.39,Buy,202 Days,-10.39,Rise by -0.74%,5.2%,-12.45%,
2021-03-12,136.06,2021-06-15,141.05,Buy,67 Days,-4.8,Rise by 1.59%,3.67%,-8.78%,
2021-10-01,145.35,2021-12-08,148.39,Buy,48 Days,-5.32,Rise by 0.36%,2.09%,-6.69%,
2021-11-03,145.57,2022-07-27,116.82,Buy,190 Days,-3.41,Rise by 1.92%,-19.75%,-26.44%,
2022-01-18,140.1,2022-07-27,116.82,Buy,136 Days,-3.17,Rise by -1.08%,-16.62%,-43.06%,
2022-02-04,139.01,2022-07-27,116.82,Buy,123 Days,-5.25,Rise by -0.3%,-15.96%,-59.02%,
2022-04-05,128.49,2022-08-05,116.47,Buy,88 Days,-4.54,Rise by -4.73%,-9.35%,-68.38%,
2022-04-22,119.99,2022-07-27,116.82,Buy,68 Days,-3.3,Rise by -0.55%,-2.64%,-71.02%,
2022-05-04,118.62,2022-08-05,116.47,Buy,67 Days,-5.72,Rise by 0.6%,-1.81%,-72.83%,
2022-09-06,107.49,2022-12-12,106.67,Buy,69 Days,-4.53,Rise by -8.74%,-0.76%,-73.59%,
2022-09-27,100.95,2022-12-12,106.67,Buy,54 Days,-3.72,Rise by -3.45%,5.67%,-67.93%,
2022-10-19,96.53,2023-12-12,94.62,Buy,299 Days,-3.74,Rise by 0.97%,-1.98%,-69.91%,
2023-05-01,103.13,2023-11-13,87.79,Buy,140 Days,-4.99,Rise by -0.01%,-14.87%,-84.78%,
2023-10-03,85.06,2024-08-08,95.32,Buy,222 Days,-6.43,Rise by 4.01%,12.06%,-72.72%,
2023-10-18,84.5,2023-12-12,94.62,Buy,39 Days,-3.23,Rise by 5.99%,11.98%,-60.74%,
2024-02-05,94.13,2024-03-12,94.88,Buy,26 Days,-3.24,Rise by -0.28%,0.8%,-59.95%,
2024-11-01,90.84,2025-04-09,88.87,Buy,113 Days,-11.25,Rise by -0.15%,-2.17%,-62.12%,
2025-05-02,87.73,2025-07-03,86.97,Buy,44 Days,-3.5,Rise by -1.65%,-0.87%,-62.98%,
