Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Buy,2020-02-27 - 2020-03-12,10 days,2020-03-17,86.85,2020-03-23,74.62,4 days,-14.1%,Rise by 16.96%,-14.1%,
Sell,2020-04-20 - 2020-04-28,6 days,2020-05-01,97.83,2020-05-11,101.12,6 days,-3.4%,Fall by 0.88%,-17.4%,
Buy,2020-05-26 - 2020-05-27,1 days,2020-06-16,100.23,2020-07-17,105.89,23 days,5.6%,Rise by 6.63%,-11.8%,
Sell,2020-06-02 - 2020-06-05,3 days,2020-06-11,96.97,2020-06-16,100.23,3 days,-3.4%,Fall by -4.56%,-15.2%,
Sell,2020-07-16 - 2020-07-23,5 days,2020-07-31,105.53,2020-08-28,108.0,20 days,-2.3%,Fall by 3.92%,-17.5%,
Sell,2020-08-31 - 2020-09-03,3 days,2020-09-11,104.59,2020-09-22,102.96,7 days,1.6%,Fall by 2.8%,-15.9%,
Buy,2020-10-29 - 2020-10-30,1 days,2020-11-13,112.12,2021-01-11,117.94,41 days,5.2%,Rise by 5.69%,-10.8%,
Sell,2020-11-06 - 2020-11-09,1 days,2020-11-18,109.13,2020-11-20,108.8,2 days,0.3%,Fall by -4.77%,-10.4%,
Sell,2020-12-08 - 2020-12-09,1 days,2020-12-22,111.07,2021-01-05,113.77,10 days,-2.4%,Fall by -2.94%,-12.9%,
Sell,2021-01-11 - 2021-01-20,7 days,2021-02-01,115.47,2021-02-04,115.46,3 days,0.0%,Fall by 4.04%,-12.9%,
Sell,2021-04-21 - 2021-04-23,2 days,2021-04-28,122.18,2021-04-30,121.33,2 days,0.7%,Fall by 0.7%,-12.2%,
Sell,2021-07-07 - 2021-07-12,3 days,2021-07-15,128.27,2021-07-23,131.48,6 days,-2.5%,Fall by 2.28%,-14.7%,
Sell,2021-08-17 - 2021-08-23,4 days,2021-09-08,135.99,2021-09-14,132.35,4 days,2.7%,Fall by 7.83%,-12.0%,
Sell,2021-10-25 - 2021-11-03,7 days,2021-11-18,133.78,2021-11-24,132.46,4 days,1.0%,Fall by 4.66%,-11.0%,
Sell,2021-12-15 - 2021-12-16,1 days,2021-12-21,137.13,2021-12-27,140.77,4 days,-2.7%,Fall by 6.99%,-13.7%,
Sell,2021-12-29 - 2021-12-30,1 days,2022-01-04,137.6,2022-01-11,136.81,5 days,0.6%,Fall by 7.31%,-13.1%,
Buy,2022-01-21 - 2022-01-24,1 days,2022-01-31,131.23,2022-03-29,138.07,41 days,5.2%,Rise by 8.84%,-7.9%,
Sell,2022-03-18 - 2022-03-21,1 days,2022-03-24,135.64,2022-04-06,139.3,9 days,-2.7%,Fall by 7.08%,-10.6%,
Sell,2022-11-01 - 2022-11-02,1 days,2022-11-16,133.02,2022-11-23,136.34,5 days,-2.5%,Fall by -1.07%,-13.1%,
Sell,2022-11-25 - 2022-11-28,1 days,2022-12-05,138.44,2022-12-21,136.21,12 days,1.6%,Fall by 10.32%,-11.5%,
Buy,2023-02-28 - 2023-03-10,8 days,2023-03-14,126.43,2024-01-02,138.78,210 days,9.8%,Rise by 7.3%,-1.7%,
Buy,2023-05-30 - 2023-05-31,1 days,2023-06-09,130.42,2024-01-02,138.78,147 days,6.4%,Rise by 1.77%,4.7%,
Sell,2023-06-15 - 2023-06-16,1 days,2023-06-26,131.25,2023-06-27,130.95,1 days,0.2%,Fall by -0.88%,4.9%,
Buy,2023-09-22 - 2023-10-03,7 days,2023-10-05,128.66,2024-01-02,138.78,63 days,7.9%,Rise by 5.68%,12.8%,
Sell,2023-12-13 - 2023-12-14,1 days,2023-12-21,134.35,2024-01-02,138.78,8 days,-3.3%,Fall by -3.07%,9.5%,
Sell,2024-02-08 - 2024-02-16,6 days,2024-02-27,146.74,2024-03-04,146.12,4 days,0.4%,Fall by 1.31%,9.9%,
Buy,2024-04-17 - 2024-04-18,1 days,2024-05-02,140.48,2024-07-12,148.27,51 days,5.5%,Rise by 4.29%,15.5%,
Sell,2024-05-16 - 2024-05-22,4 days,2024-05-28,142.67,2024-06-06,146.27,7 days,-2.5%,Fall by -0.44%,13.0%,
Sell,2024-08-19 - 2024-09-04,12 days,2024-09-09,155.03,2024-09-27,153.02,14 days,1.3%,Fall by 2.62%,14.3%,
Buy,2024-10-28 - 2024-10-30,2 days,2024-11-06,148.04,2025-04-08,132.98,109 days,-10.2%,Rise by -0.43%,4.1%,
Sell,2025-01-27 - 2025-01-28,1 days,2025-02-04,147.04,2025-02-19,146.4,11 days,0.4%,Fall by 2.18%,4.5%,
Sell,2025-06-12 - 2025-06-13,1 days,2025-06-18,133.24,2025-07-01,136.71,9 days,-2.6%,Fall by 3.17%,1.9%,
Buy,2025-07-21 - 2025-08-01,9 days,2025-08-05,132.5,2025-10-03,144.82,43 days,9.3%,Rise by 4.28%,11.2%,
Sell,2025-08-19 - 2025-08-22,3 days,2025-09-15,136.93,2025-09-24,136.39,7 days,0.4%,Fall by -5.35%,11.6%,
Sell,2025-10-03 - 2025-10-22,13 days,2025-10-30,144.3,2025-10-30,144.3,0 days,-0.0%,Fall by 0.03%,11.6%,
