Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-03-23,122.6800,2022-04-05,120.5800,9 days,-1.71%,-1.7118%,Rise by -1.43%,-1.7118%
Buy,2022-04-07,120.6800,2022-06-10,118.0400,46 days,-2.19%,-2.1876%,Rise by 0.2%,-3.8994%
Buy,2022-06-15,117.2800,2022-06-22,118.2600,5 days,0.84%,0.8356%,Rise by 2.61%,-3.0638%
Buy,2022-09-16,116.3100,2022-09-26,113.6600,6 days,-2.28%,-2.2784%,Rise by -1.74%,-5.3422%
Buy,2022-09-28,114.9000,2022-11-03,112.7500,26 days,-1.87%,-1.8712%,Rise by -0.53%,-7.2134%
Buy,2023-03-03,113.9600,2023-03-10,115.5600,5 days,1.40%,1.4040%,Rise by 3.9%,-5.8094%
Buy,2023-05-26,115.9700,2023-05-31,116.8800,3 days,0.78%,0.7847%,Rise by 0.15%,-5.0247%
Buy,2023-07-10,114.5300,2023-07-12,115.4000,2 days,0.76%,0.7596%,Rise by 0.29%,-4.2650%
Buy,2024-02-14,115.4100,2024-03-06,116.0100,15 days,0.52%,0.5199%,Rise by 0.81%,-3.7452%
Buy,2024-04-12,114.0500,2024-05-09,114.5800,19 days,0.46%,0.4647%,Rise by 1.01%,-3.2804%
Buy,2024-10-09,117.6700,2024-11-01,116.1200,17 days,-1.32%,-1.3172%,Rise by -0.42%,-4.5977%
Buy,2024-11-04,116.4600,2024-11-29,117.1300,19 days,0.58%,0.5753%,Rise by 0.61%,-4.0224%
