Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-12-02,62.2600,2021-12-07,63.8100,3 days,2.49%,2.4896%,Rise by 6.52%,2.4896%
Buy,2022-01-20,59.8400,2022-01-26,57.1700,4 days,-4.46%,-4.4619%,Rise by 2.39%,-1.9723%
Buy,2022-01-28,57.8400,2022-01-31,59.0000,1 days,2.01%,2.0055%,Rise by 3.27%,0.0332%
Buy,2022-02-23,56.7600,2022-02-24,58.2000,1 days,2.54%,2.5370%,Rise by 9.58%,2.5702%
Buy,2022-04-28,56.4200,2022-06-10,51.1700,31 days,-9.31%,-9.3052%,Rise by -2.92%,-6.7350%
Buy,2022-06-16,47.6500,2022-06-23,50.1700,5 days,5.29%,5.2886%,Rise by 8.56%,-1.4465%
Buy,2022-08-31,50.5300,2022-09-08,52.6500,6 days,4.20%,4.1955%,Rise by -0.53%,2.7491%
Buy,2022-09-26,47.5100,2022-10-04,50.1000,6 days,5.45%,5.4515%,Rise by 9.22%,8.2006%
Buy,2023-02-27,51.8600,2023-03-03,53.4700,4 days,3.10%,3.1045%,Rise by 10.24%,11.3051%
Buy,2023-05-30,52.6800,2023-06-01,53.5400,2 days,1.63%,1.6325%,Rise by 6.26%,12.9376%
Buy,2023-08-07,54.3400,2023-08-17,51.8400,8 days,-4.60%,-4.6007%,Rise by -2.19%,8.3369%
Buy,2023-08-21,51.5200,2023-08-29,52.7800,6 days,2.45%,2.4457%,Rise by -12.99%,10.7826%
Buy,2023-09-27,48.1900,2023-09-28,49.0300,1 days,1.74%,1.7431%,Rise by 19.11%,12.5257%
Buy,2023-10-16,45.8400,2023-11-03,47.2500,14 days,3.08%,3.0759%,Rise by 25.22%,15.6016%
Buy,2024-04-19,54.3600,2024-04-23,55.5100,2 days,2.12%,2.1155%,Rise by 4.4%,17.7171%
Buy,2024-12-20,58.8100,2024-12-26,59.5600,4 days,1.28%,1.2753%,Rise by 10.68%,18.9924%
Buy,2025-03-14,59.1700,2025-03-24,60.4600,6 days,2.18%,2.1802%,Rise by 6.49%,21.1725%
