Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-06-20,6.9200,2022-06-23,7.2500,3 days,4.77%,4.7688%,Rise by 17.05%,4.7688%
Buy,2022-09-19,7.5300,2022-10-11,7.7000,16 days,2.26%,2.2576%,Rise by 10.36%,7.0264%
Buy,2023-03-15,7.9000,2023-03-24,8.0800,7 days,2.28%,2.2785%,Rise by 11.58%,9.3049%
Buy,2023-05-23,8.2600,2023-06-02,8.5050,8 days,2.97%,2.9661%,Rise by 3.93%,12.2710%
Buy,2023-08-24,7.9900,2023-09-11,7.3800,12 days,-7.63%,-7.6345%,Rise by -3.63%,4.6365%
Buy,2023-09-13,7.4500,2023-09-18,7.6400,3 days,2.55%,2.5503%,Rise by 3.36%,7.1868%
Buy,2024-04-29,7.3000,2024-06-05,7.4750,27 days,2.40%,2.3973%,Rise by 1.37%,9.5841%
Buy,2025-01-14,8.6000,2025-01-16,8.8600,2 days,3.02%,3.0233%,Rise by 3.84%,12.6073%
Buy,2025-02-28,8.3600,2025-03-19,7.6600,13 days,-8.37%,-8.3732%,Rise by -2.27%,4.2341%
Buy,2025-03-20,7.8250,2025-03-27,8.0100,5 days,2.36%,2.3642%,Rise by 6.58%,6.5983%
Buy,2025-10-16,9.1100,2025-10-21,9.2800,3 days,1.87%,1.8661%,Rise by 2.74%,8.4644%
