Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2021-08-06,258.26,2021-09-07,266.81,Buy,21 days,Rise by 7.810000%,3.31,
2021-09-14,243.0,2021-09-29,225.28,Sell,10 days,Fall by 7.290000%,7.29,
2022-02-08,208.73,2022-08-10,94.14,Buy,130 days,Rise by -17.240000%,-54.9,
2022-03-17,177.22,2022-03-25,186.71,Buy,5 days,Rise by -13.180000%,5.35,
2022-03-29,204.53,2022-08-10,94.14,Buy,95 days,Rise by -26.730000%,-53.97,
2022-04-22,131.52,2022-05-02,121.34,Sell,5 days,Fall by 21.120000%,7.74,
2022-08-03,80.81,2022-08-09,87.68,Buy,3 days,Rise by -11.560000%,8.5,
2022-10-05,72.97,2023-02-09,59.63,Buy,90 days,Rise by -13.400000%,-18.28,
2022-10-10,67.04,2022-10-25,75.05,Sell,10 days,Fall by 16.770000%,-11.95,
2022-10-12,69.95,2023-02-09,59.63,Buy,85 days,Rise by -13.210000%,-14.75,
2022-10-19,63.19,2022-10-25,75.05,Sell,3 days,Fall by 11.690000%,-18.77,
2022-11-01,63.29,2022-11-10,50.92,Sell,6 days,Fall by 12.260000%,19.54,
2022-11-03,55.8,2022-11-11,57.46,Sell,5 days,Fall by 12.560000%,-2.97,
2022-11-08,50.83,2022-11-11,57.46,Sell,2 days,Fall by 14.640000%,-13.04,
2023-01-10,43.23,2023-01-19,49.42,Buy,6 days,Rise by 88.430000%,14.32,
2023-02-15,69.34,2023-07-07,78.72,Buy,101 days,Rise by -10.740000%,13.53,
2023-03-10,53.44,2023-03-14,62.65,Sell,1 days,Fall by -13.740000%,-17.23,
2023-04-21,59.04,2023-05-02,51.32,Sell,6 days,Fall by 3.830000%,13.08,
2023-04-27,54.17,2023-05-05,58.24,Sell,5 days,Fall by -4.820000%,-7.51,
2023-05-08,58.1,2023-06-02,64.55,Buy,18 days,Rise by 11.100000%,11.1,
2023-07-11,89.15,2023-07-19,110.15,Buy,5 days,Rise by -11.180000%,23.56,
2023-10-05,74.62,2023-11-06,86.37,Buy,21 days,Rise by 149.750000%,15.75,
2023-11-21,105.49,2023-11-29,127.82,Buy,5 days,Rise by 76.660000%,21.17,
2023-11-24,115.54,2023-12-01,133.76,Buy,4 days,Rise by 61.290000%,15.77,
2024-02-08,132.55,2024-02-14,160.38,Buy,3 days,Rise by 93.600000%,21.0,
2024-05-31,225.92,2024-06-05,251.4,Sell,2 days,Fall by 6.020000%,-11.28,
2024-06-05,251.4,2024-11-04,186.27,Buy,107 days,Rise by -10.160000%,-25.91,
2024-06-20,235.03,2024-06-26,214.58,Sell,3 days,Fall by 13.020000%,8.7,
2024-06-21,225.86,2024-06-27,224.0,Sell,3 days,Fall by 16.110000%,0.82,
2024-07-16,251.49,2024-11-04,186.27,Buy,78 days,Rise by -10.750000%,-25.93,
2024-07-22,265.15,2024-11-04,186.27,Buy,74 days,Rise by -28.540000%,-29.75,
2024-07-26,242.93,2024-08-02,204.44,Sell,4 days,Fall by 19.200000%,15.84,
2024-08-02,204.44,2024-08-08,192.32,Sell,3 days,Fall by 10.310000%,5.93,
2024-11-07,255.58,2024-11-13,284.72,Buy,3 days,Rise by 34.450000%,11.4,
2024-11-11,324.24,2025-05-29,248.84,Buy,142 days,Rise by 5.980000%,-23.25,
2025-01-17,295.48,2025-05-29,248.84,Buy,93 days,Rise by -10.440000%,-15.78,
2025-05-14,263.41,2025-06-25,355.37,Buy,29 days,Rise by 42.390000%,34.91,
2025-09-25,306.69,2025-10-01,346.17,Sell,3 days,Fall by -12.090000%,-12.87,
2025-10-03,380.02,2025-10-03,380.02,Buy,0 days,Rise by -11.580000%,0.0,
2025-10-22,320.33,2025-10-27,361.43,Sell,2 days,Fall by -7.320000%,-12.83,
2025-10-30,328.51,2025-10-30,328.51,Sell,0 days,Fall by -4.650000%,0.0,
