Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-01-17,1.2542,2022-01-25,1.2625,6 days,0.66%,0.6618%,Rise by 1.73%,0.6618%
Buy,2022-06-02,1.2665,2022-06-13,1.2798,7 days,1.05%,1.0501%,Rise by 2.65%,1.7119%
Buy,2022-11-15,1.3325,2022-11-29,1.3490,10 days,1.24%,1.2383%,Rise by 2.73%,2.9502%
Buy,2023-04-05,1.3438,2023-04-10,1.3504,3 days,0.49%,0.4911%,Rise by 1.44%,3.4413%
Buy,2023-04-18,1.3392,2023-04-20,1.3468,2 days,0.57%,0.5675%,Rise by 1.79%,4.0088%
Buy,2023-06-20,1.3210,2023-07-06,1.3286,12 days,0.58%,0.5753%,Rise by 1.17%,4.5842%
Buy,2023-11-30,1.3590,2023-12-18,1.3382,12 days,-1.53%,-1.5305%,Rise by -0.48%,3.0536%
Buy,2023-12-21,1.3358,2024-01-16,1.3436,18 days,0.58%,0.5839%,Rise by 1.25%,3.6375%
Buy,2024-08-29,1.3477,2024-09-04,1.3543,4 days,0.49%,0.4897%,Rise by 0.99%,4.1273%
Buy,2025-02-18,1.4185,2025-02-27,1.4336,7 days,1.06%,1.0645%,Rise by 2.15%,5.1918%
Buy,2025-04-16,1.3957,2025-06-05,1.3679,36 days,-1.99%,-1.9918%,Rise by 0.16%,3.1999%
