Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-08-05,50.75,2022-11-11,54.0,69 days,6.400000%,6.400000%,Rise by 9.360000%,6.400000%,
Buy,2023-06-28,71.75,2023-09-18,88.5,57 days,23.340000%,23.340000%,Rise by 3.830000%,29.750000%,
Buy,2024-07-19,121.5,2025-06-19,64.6,238 days,-46.830000%,-46.830000%,Rise by 2.470000%,-17.080000%,
Buy,2025-07-31,41.0,2025-09-25,48.0,39 days,17.070000%,17.070000%,Rise by 19.760000%,-0.010000%,
