Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2023-11-19,19731.8008,2024-06-30,24010.5996,Buy,159 Days,15.68,Rise by 10.96%,21.68%,21.68%
2025-01-19,23203.1992,2025-03-02,22124.6992,Sell,29 Days,-15.14,Fall by 4.65%,4.65%,26.33%
2025-07-06,25461.0,2025-07-06,25461.0,Buy,0 Days,11.9,Rise by 0%,0.0%,26.33%
