Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2022-11-06,12.28,2023-08-20,10.25,Buy,204 days,Rise by -35.260000%,-16.53,
2022-12-25,7.95,2023-01-22,9.52,Sell,19 days,Fall by -9.180000%,-19.75,
2023-05-21,8.47,2023-07-09,10.79,Sell,34 days,Fall by 4.370000%,-27.39,
2023-06-18,10.03,2023-08-06,11.28,Buy,34 days,Rise by -11.270000%,12.46,
2023-07-09,10.79,2024-01-07,11.89,Buy,129 days,Rise by -10.100000%,10.19,
2024-02-25,14.48,2024-03-24,18.3,Buy,19 days,Rise by 61.670000%,26.38,
2025-07-06,94.4,2025-08-31,104.03,Buy,39 days,Rise by 55.490000%,10.2,
