Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2011-08-21,34.05,2015-08-16,78.36,1039 days,130.130000%,130.130000%,Rise by 16.390000%,130.130000%
Buy,2015-09-06,73.85,2018-02-11,100.83,634 days,36.530000%,36.530000%,Rise by 10.320000%,166.670000%
Buy,2018-10-28,103.41,2021-02-28,161.15,609 days,55.840000%,55.840000%,Rise by 16.690000%,222.500000%
Buy,2022-05-22,140.41,2023-09-24,160.93,349 days,14.610000%,14.610000%,Rise by 21.010000%,237.120000%
Buy,2023-11-05,160.22,2024-07-28,182.61,189 days,13.970000%,13.970000%,Rise by 12.020000%,251.090000%
Buy,2025-03-23,197.45,2025-03-23,197.45,0 days,0.00%,0.00%,Rise by 0%,251.090000%
