Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1982-12-31,9.0,1985-12-31,15.12,782 days,1981-06-30/8.5556,68.06%,68.06%,Rise by -11.11%,68.06%
Buy,1986-03-31,18.21,1986-09-30,14.46,131 days,1985-12-31/15.125,-20.60%,-20.60%,Rise by -22.65%,47.46%
Buy,1989-09-30,13.62,1989-12-31,9.96,64 days,1987-09-30/12.7083,-26.91%,-26.91%,Rise by -37.61%,20.55%
Buy,1992-03-31,10.92,1995-09-30,20.29,913 days,1990-06-30/8.5,85.88%,85.88%,Rise by 37.4%,106.43%
Buy,1996-03-31,23.5,1997-09-30,39.33,391 days,1995-09-30/20.2917,67.38%,67.38%,Rise by 114.18%,173.80%
Buy,1998-03-31,44.96,1998-09-30,28.75,131 days,1997-09-30/39.3333,-36.05%,-36.05%,Rise by 28.27%,137.75%
Buy,1999-03-31,54.25,2001-09-30,34.15,652 days,1998-06-30/50.3333,-37.05%,-37.05%,Rise by 7.14%,100.70%
Buy,2003-12-31,36.73,2009-03-31,26.58,1369 days,2001-12-31/36.35,-27.63%,-27.63%,Rise by 13.37%,73.07%
Buy,2011-03-31,46.1,2011-09-30,30.12,131 days,2010-03-31/44.75,-34.66%,-34.66%,Rise by -27.87%,38.40%
Buy,2013-03-31,47.46,2016-12-31,86.29,979 days,2011-03-31/46.1,81.82%,81.82%,Rise by 27.92%,120.22%
Buy,2017-03-31,87.84,2021-03-31,152.23,1043 days,2016-12-31/86.29,73.30%,73.30%,Rise by 28.46%,193.52%
Buy,2021-06-30,155.54,2022-06-30,112.61,261 days,2021-03-31/152.23,-27.60%,-27.60%,Rise by -12.36%,165.92%
Buy,2023-12-31,170.1,2025-06-30,289.91,390 days,2021-09-30/163.69,70.44%,70.44%,Rise by 82.9%,236.36%
Buy,2025-09-30,315.43,2025-09-30,315.43,0 days,2025-06-30/289.91,0.00%,0.00%,Rise by 0%,236.36%
