Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Buy,2023-05-10 - 2023-05-16,4 days,2023-05-22,17.21,2023-05-23,18.53,1 days,7.7%,Rise by -20.69%,113.5%,
Buy,2023-06-08 - 2023-06-09,1 days,2023-06-20,13.88,2023-07-06,15.44,12 days,11.2%,Rise by 28.89%,124.7%,
Buy,2023-06-21 - 2023-06-22,1 days,2023-07-03,13.57,2023-07-06,15.44,3 days,13.8%,Rise by 31.83%,138.5%,
Buy,2023-07-18 - 2023-07-19,1 days,2023-07-28,13.33,2023-08-02,16.09,3 days,20.7%,Rise by 34.21%,159.2%,
Sell,2023-08-04 - 2023-08-10,4 days,2023-08-22,16.97,2023-09-05,14.01,10 days,17.4%,Fall by 18.44%,176.7%,
Sell,2023-09-22 - 2023-09-27,3 days,2023-10-10,17.03,2023-10-13,19.32,3 days,-13.4%,Fall by 12.45%,163.2%,
Sell,2023-10-20 - 2023-10-23,1 days,2023-10-31,18.14,2023-11-10,14.17,8 days,21.9%,Fall by 21.06%,185.1%,
Buy,2023-11-06 - 2023-11-09,3 days,2023-11-15,14.18,2023-11-24,12.46,7 days,-12.1%,Rise by -12.91%,173.0%,
Buy,2023-11-24 - 2023-12-08,10 days,2023-12-13,12.19,2023-12-20,13.67,5 days,12.1%,Rise by 21.33%,185.1%,
Sell,2023-12-22 - 2024-01-02,7 days,2024-01-09,12.76,2024-01-12,12.7,3 days,0.5%,Fall by -2.74%,185.6%,
Sell,2024-01-05 - 2024-01-17,8 days,2024-01-22,13.19,2024-01-29,13.6,5 days,-3.1%,Fall by 0.61%,182.5%,
Buy,2024-01-12 - 2024-01-24,8 days,2024-01-26,13.26,2024-01-31,14.35,3 days,8.2%,Rise by 19.53%,190.7%,
Sell,2024-02-05 - 2024-02-13,6 days,2024-02-23,13.75,2024-02-26,13.74,1 days,0.1%,Fall by 7.05%,190.8%,
Sell,2024-04-17 - 2024-04-19,2 days,2024-04-24,15.97,2024-04-30,15.65,4 days,2.0%,Fall by 21.42%,192.8%,
Buy,2024-05-07 - 2024-05-09,2 days,2024-05-13,13.6,2024-05-17,11.99,4 days,-11.8%,Rise by 6.4%,180.9%,
Sell,2024-07-30 - 2024-08-05,4 days,2024-08-08,23.79,2024-08-20,15.88,8 days,33.2%,Fall by 32.11%,214.2%,
Buy,2024-08-22 - 2024-08-28,4 days,2024-09-03,20.72,2024-09-06,22.38,3 days,8.0%,Rise by -21.19%,222.2%,
Sell,2024-10-07 - 2024-10-08,1 days,2024-10-11,20.46,2024-10-16,19.58,3 days,4.3%,Fall by 20.48%,226.5%,
Sell,2025-01-14 - 2025-01-27,9 days,2025-01-30,15.84,2025-01-31,16.43,1 days,-3.7%,Fall by -8.27%,222.8%,
Buy,2025-01-23 - 2025-01-24,1 days,2025-02-03,18.62,2025-02-05,15.77,2 days,-15.3%,Rise by -15.9%,207.5%,
Sell,2025-03-10 - 2025-03-11,1 days,2025-03-14,21.77,2025-03-18,21.7,2 days,0.3%,Fall by 15.53%,207.8%,
Sell,2025-04-16 - 2025-04-21,3 days,2025-04-24,26.47,2025-04-30,24.7,4 days,6.7%,Fall by 30.53%,214.5%,
Buy,2025-04-28 - 2025-05-02,4 days,2025-05-14,18.62,2025-05-21,20.87,5 days,12.1%,Rise by 16.0%,226.6%,
Buy,2025-06-10 - 2025-06-11,1 days,2025-06-23,19.83,2025-06-24,17.48,1 days,-11.9%,Rise by -20.42%,214.7%,
Sell,2025-06-20 - 2025-06-23,1 days,2025-06-26,16.59,2025-06-27,16.32,1 days,1.6%,Fall by 10.01%,216.3%,
Buy,2025-08-14 - 2025-08-22,6 days,2025-08-29,15.36,2025-09-02,17.17,2 days,11.8%,Rise by 64.78%,228.1%,
Buy,2025-09-12 - 2025-09-18,4 days,2025-09-22,16.1,2025-10-07,17.24,11 days,7.1%,Rise by 57.2%,235.2%,
Sell,2025-10-16 - 2025-10-17,1 days,2025-10-22,18.6,2025-10-28,16.42,4 days,11.7%,Fall by 6.24%,246.9%,
