Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2001-09-23,0.6245,2001-09-30,0.69,Sell,4 Days,-13.51,Fall by -11.29%,-10.49%,-10.49%
2001-09-30,0.69,2002-02-24,0.8495,Buy,104 Days,28.89,Rise by 8.7%,23.12%,12.63%
2001-11-11,0.705,2001-12-09,0.7475,Sell,19 Days,-7.69,Fall by 1.42%,-6.03%,6.6%
2002-05-12,0.7375,2002-06-09,0.711,Sell,19 Days,-10.53,Fall by 12.54%,3.59%,10.19%
2003-01-12,0.693,2003-01-26,0.76,Sell,9 Days,-4.76,Fall by -59.38%,-9.67%,0.52%
2004-03-28,1.461,2004-04-04,1.5595,Sell,4 Days,-11.11,Fall by 11.09%,-6.74%,-6.22%
2004-05-16,1.299,2004-05-30,1.416,Sell,9 Days,-10.53,Fall by -1.04%,-9.01%,-15.22%
2005-03-27,2.055,2005-04-10,2.1815,Sell,9 Days,-18.71,Fall by -1.34%,-6.16%,-21.38%
2005-05-29,2.1075,2005-07-31,2.54,Buy,44 Days,20.72,Rise by 18.1%,20.52%,-0.86%
2005-08-21,2.47,2005-08-28,2.3645,Sell,4 Days,-11.11,Fall by 13.68%,4.27%,3.41%
2006-01-08,2.728,2006-01-22,2.6315,Sell,9 Days,-10.87,Fall by 3.63%,3.54%,6.95%
2006-04-23,3.07,2006-04-30,2.941,Sell,4 Days,-7.1,Fall by 10.1%,4.2%,11.15%
2008-03-30,5.0685,2008-06-15,4.232,Buy,54 Days,8.0,Rise by 16.1%,-16.5%,-5.35%
2009-03-22,2.583,2009-04-05,3.3755,Buy,9 Days,6.79,Rise by 106.54%,30.68%,25.33%
2011-03-20,7.7705,2011-04-03,8.6195,Sell,9 Days,-11.63,Fall by -1.18%,-10.93%,14.4%
2012-04-15,8.275,2012-05-13,7.805,Sell,19 Days,-13.42,Fall by 12.21%,5.68%,20.08%
2013-05-12,10.63,2013-06-23,8.865,Buy,29 Days,13.36,Rise by -11.03%,-16.6%,3.48%
2013-08-25,7.525,2013-09-01,7.245,Sell,4 Days,-13.9,Fall by -9.4%,3.72%,7.2%
2015-08-02,15.6175,2015-08-23,14.985,Sell,14 Days,-19.6,Fall by 9.91%,4.05%,11.25%
2016-01-17,14.06,2016-01-31,15.0825,Sell,9 Days,-27.63,Fall by 6.51%,-7.27%,3.98%
2016-11-20,16.1425,2017-04-30,19.9025,Buy,114 Days,20.08,Rise by 10.45%,23.29%,27.27%
2018-04-15,24.3075,2018-06-03,26.435,Sell,34 Days,-16.67,Fall by -2.84%,-8.75%,18.52%
2021-01-24,37.125,2022-03-06,28.62,Buy,289 Days,8.07,Rise by 4.32%,-22.91%,-4.39%
2021-10-03,36.855,2021-11-07,35.51,Sell,24 Days,-12.57,Fall by 3.65%,3.65%,-0.74%
2023-06-11,32.825,2024-02-04,27.4,Buy,169 Days,20.25,Rise by 7.31%,-16.53%,-17.27%
2025-01-19,29.2,2025-03-23,32.26,Sell,44 Days,-15.14,Fall by -1.2%,-10.48%,-27.75%
2025-07-06,38.27,2025-07-06,38.27,Buy,0 Days,11.9,Rise by 0%,0.0%,-27.75%
