Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Profit [%],Holding Period (days),Backtested Win Rate [%],Backtested Number of Trades,Avg Backtested Holding Period (days)
TRENDPULSE,PFE,Long,Weekly,2025-05-25,23.32,2025-07-06,25.38,8.833619210977696,29,80.56,36,71
TRENDPULSE,PFE,Long,Weekly,2025-03-02,26.43,2025-11-02,24.65,-6.7347710934544125,174,80.56,36,71
TRENDPULSE,PFE,Long,Weekly,2024-12-29,26.62,2025-11-02,24.65,-7.4004507888805495,219,80.56,36,71
