Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2006-04-30,0.71,2012-05-31,0.77,1587 days,8.660000%,8.660000%,Rise by 15.730000%,8.660000%
Buy,2015-08-31,0.86,2015-08-31,0.86,0 days,0.00%,0.00%,Rise by 0%,8.660000%
