Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2022-05-09,11.25,2022-08-03,10.15,Buy,62 Days,-3.14,Rise by -2.22%,-9.78%,-9.78%
2022-06-20,9.17,2022-09-16,10.82,Buy,64 Days,-4.89,Rise by 7.2%,17.99%,8.22%
2022-07-04,9.2,2024-01-12,8.43,Buy,399 Days,-7.95,Rise by 8.15%,-8.37%,-0.15%
2022-07-14,9.69,2022-08-31,10.22,Buy,34 Days,-3.5,Rise by 4.64%,5.47%,5.32%
2022-11-03,9.82,2023-07-31,8.56,Buy,192 Days,-3.25,Rise by 4.89%,-12.83%,-7.52%
2023-01-04,9.6,2023-07-31,8.56,Buy,148 Days,-3.55,Rise by 4.17%,-10.83%,-18.35%
2023-02-01,9.5,2023-07-31,8.56,Buy,128 Days,-4.46,Rise by 1.05%,-9.89%,-28.24%
2023-11-01,7.85,2024-04-05,8.96,Buy,112 Days,-6.5,Rise by 1.91%,14.14%,-14.1%
2024-07-04,7.57,2024-08-20,9.1,Buy,33 Days,-3.65,Rise by 11.62%,20.21%,6.11%
2025-04-01,10.44,2025-06-17,11.0,Buy,55 Days,-6.26,Rise by -1.44%,5.36%,11.47%
