Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-12-01,49.02,2022-12-06,39.04,Buy,264 Days,-5.9,Rise by 2.57%,-20.36%,-20.36%
2022-03-01,46.11,2023-01-31,41.36,Buy,240 Days,-7.1,Rise by -1.39%,-10.3%,-30.66%
2022-05-05,41.5,2022-08-16,40.85,Buy,73 Days,-3.03,Rise by -0.43%,-1.57%,-32.23%
2022-10-03,35.45,2023-01-31,41.36,Buy,86 Days,-6.05,Rise by -0.82%,16.67%,-15.56%
2025-04-04,40.58,2025-05-27,46.12,Buy,37 Days,-4.1,Rise by 3.82%,13.65%,-1.9%
