Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-12-01,38.1000,2021-12-20,35.5700,13 days,-6.64%,-6.6404%,Rise by -2.91%,-6.6404%
Buy,2021-12-21,36.6200,2022-01-11,37.8200,15 days,3.28%,3.2769%,Rise by 6.58%,-3.3635%
Buy,2022-02-25,35.2200,2022-03-04,32.9700,5 days,-6.39%,-6.3884%,Rise by -17.46%,-9.7519%
Buy,2022-03-09,31.7900,2022-03-11,29.0700,2 days,-8.56%,-8.5561%,Rise by 7.99%,-18.3081%
Buy,2022-04-25,29.1800,2022-04-29,30.9400,4 days,6.03%,6.0315%,Rise by 17.07%,-12.2766%
Buy,2022-08-03,30.0100,2022-08-25,30.9600,16 days,3.17%,3.1656%,Rise by 3.17%,-9.1109%
Buy,2022-09-26,26.7700,2022-10-13,24.5000,13 days,-8.48%,-8.4796%,Rise by -11.62%,-17.5906%
Buy,2022-10-26,22.7600,2022-11-10,24.3600,11 days,7.03%,7.0299%,Rise by 18.32%,-10.5607%
Buy,2023-02-27,28.2800,2023-03-01,29.1200,2 days,2.97%,2.9703%,Rise by 5.76%,-7.5904%
Buy,2023-03-14,27.7200,2023-03-23,28.9500,7 days,4.44%,4.4372%,Rise by 7.9%,-3.1532%
Buy,2023-05-31,25.9700,2023-06-02,27.4300,2 days,5.62%,5.6219%,Rise by 11.98%,2.4687%
Buy,2025-04-09,31.6800,2025-04-14,33.3700,3 days,5.33%,5.3346%,Rise by 14.61%,7.8033%
