Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2021-11-12,7.94,2022-12-22,7.9,288 days,-0.500000%,-0.500000%,Rise by 2.390000%,-0.500000%,
Buy,2023-03-14,7.5,2023-07-17,8.03,88 days,7.070000%,7.070000%,Rise by 4.000000%,6.560000%,
Buy,2023-10-10,7.84,2024-04-02,8.4,124 days,7.140000%,7.140000%,Rise by 3.320000%,13.710000%,
Buy,2024-07-12,8.55,2024-12-04,8.6,102 days,0.580000%,0.580000%,Rise by 5.030000%,14.290000%,
Buy,2025-02-03,9.29,2025-07-30,9.09,126 days,-2.150000%,-2.150000%,Rise by 0.860000%,12.140000%,
Buy,2025-08-28,8.93,2025-08-28,8.93,0 days,0.00%,0.00%,Rise by 0%,12.140000%,
