Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Profit [%],Holding Period (days),Backtested Win Rate [%],Backtested Number of Trades,Avg Backtested Holding Period (days),Signal Open Price
FRACTAL TRACK,ATM.NZ,Short,Daily,2025-10-23,10.42,2025-10-28,10.5,-0.7677543186180429,3,91.67,48,6,
FRACTAL TRACK,ATM.NZ,Short,Daily,2025-09-04,10.17,2025-09-18,9.71,4.523107177974426,10,91.67,48,6,
FRACTAL TRACK,ATM.NZ,Short,Daily,2025-08-05,8.69,2025-08-11,8.41,3.2220943613348605,4,91.67,48,6,
FRACTAL TRACK,ATM.NZ,Short,Daily,2025-07-11,7.98,2025-07-14,7.89,1.1278195488721898,1,91.67,48,6,
FRACTAL TRACK,ATM.NZ,Short,Daily,2025-06-03,8.4,2025-06-18,8.71,-3.6904761904761965,11,91.67,48,6,
FRACTAL TRACK,ATM.NZ,Short,Daily,2025-05-13,9.04,2025-05-15,9.17,-1.4380530973451415,2,91.67,48,6,
FRACTAL TRACK,ATM.NZ,Long,Daily,2025-04-09,8.56,2025-09-03,10.19,19.04205607476634,105,94.12,17,489,
FRACTAL TRACK,ATM.NZ,Short,Daily,2025-04-03,8.62,2025-04-07,8.3,3.7122969837586837,2,91.67,48,6,
FRACTAL TRACK,ATM.NZ,Short,Daily,2025-03-25,8.74,2025-04-07,8.3,5.0343249427917565,9,91.67,48,6,
FRACTAL TRACK,ATM.NZ,Short,Daily,2025-03-24,8.8,2025-03-31,8.73,0.7954545454545486,5,91.67,48,6,
FRACTAL TRACK,ATM.NZ,Short,Daily,2025-03-06,8.92,2025-03-31,8.73,2.1300448430493217,17,91.67,48,6,
FRACTAL TRACK,ATM.NZ,Long,Daily,2024-10-24,6.53,2025-09-03,10.19,56.049004594180694,224,94.12,17,489,
