Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2013-05-26,24.31,2013-07-28,34.01,Sell,44 days,Fall by -90.170000%,-39.9,
2013-08-04,38.05,2013-09-22,47.49,Buy,34 days,Rise by 42.500000%,24.81,
2015-01-11,77.74,2015-06-28,88.01,Sell,119 days,Fall by -0.990000%,-13.21,
2015-02-08,74.47,2015-06-28,88.01,Sell,99 days,Fall by -5.430000%,-18.18,
2015-07-26,96.95,2015-11-22,107.32,Buy,84 days,Rise by 10.700000%,10.7,
2015-10-25,102.19,2016-03-20,111.45,Buy,104 days,Rise by 9.810000%,9.06,
2016-05-08,119.49,2016-08-28,124.96,Buy,79 days,Rise by 8.020000%,4.58,
2016-11-20,117.02,2017-01-29,132.18,Sell,49 days,Fall by -52.900000%,-12.96,
2017-03-19,139.84,2017-05-21,148.06,Buy,44 days,Rise by 23.320000%,5.88,
2017-04-30,150.25,2017-08-06,169.62,Buy,69 days,Rise by 14.780000%,12.89,
2017-07-23,164.43,2017-08-27,166.32,Buy,24 days,Rise by 11.160000%,1.15,
2018-04-01,159.79,2018-05-13,186.99,Sell,29 days,Fall by 12.680000%,-17.02,
2018-09-16,162.32,2018-11-04,150.35,Sell,34 days,Fall by 10.690000%,7.37,
2018-10-14,153.74,2018-12-02,140.61,Sell,34 days,Fall by 10.620000%,8.54,
2019-01-20,150.04,2019-03-03,162.28,Buy,29 days,Rise by 30.280000%,8.16,
2019-10-27,187.89,2019-12-01,201.64,Buy,24 days,Rise by 18.230000%,7.32,
2020-01-19,222.14,2020-08-02,253.67,Buy,139 days,Rise by -18.480000%,14.19,
2020-03-08,181.09,2020-04-05,154.18,Sell,19 days,Fall by -39.450000%,14.86,
2021-10-17,324.76,2022-03-06,200.06,Sell,99 days,Fall by 5.520000%,38.4,
2022-02-13,219.55,2022-03-20,216.49,Sell,24 days,Fall by 16.140000%,1.39,
2022-10-30,99.2,2022-11-13,113.02,Sell,9 days,Fall by -185.530000%,-13.93,
2023-11-26,338.23,2024-01-21,383.45,Buy,39 days,Rise by 55.910000%,13.37,
2023-12-24,353.39,2024-02-11,468.11,Buy,34 days,Rise by 49.220000%,32.46,
2024-02-04,474.99,2024-03-24,509.58,Buy,34 days,Rise by 11.020000%,7.28,
2024-12-08,623.77,2025-02-23,683.55,Buy,54 days,Rise by 18.100000%,9.58,
2025-02-09,714.52,2025-08-31,738.7,Buy,144 days,Rise by -19.280000%,3.38,
2025-03-23,596.25,2025-04-27,547.27,Sell,24 days,Fall by -8.740000%,8.21,
