Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1998-03-31,0.59,1998-09-30,0.44,131 days,1997-12-31/0.5,-25.53%,-25.53%,Rise by -25.53%,-25.53%,
Buy,1999-06-30,0.6,2002-03-31,0.45,717 days,1998-03-31/0.5875,-25.00%,-25.00%,Rise by -12.5%,-50.53%,
Buy,2002-12-31,0.69,2004-03-31,1.1,326 days,2002-09-30/0.6825,60.00%,60.00%,Rise by 143.27%,9.47%,
Buy,2004-09-30,1.2,2005-06-30,2.25,195 days,2004-03-31/1.1,86.72%,86.72%,Rise by 615.77%,96.19%,
Buy,2005-09-30,2.71,2006-03-31,4.62,130 days,2005-06-30/2.25,70.51%,70.51%,Rise by 277.88%,166.70%,
Buy,2006-06-30,4.63,2006-12-31,8.62,130 days,2006-03-31/4.625,86.29%,86.29%,Rise by 144.33%,252.98%,
Buy,2007-06-30,10.62,2008-06-30,8.12,260 days,2006-12-31/8.625,-23.53%,-23.53%,Rise by -17.65%,229.45%,
Buy,2010-12-31,8.32,2012-06-30,13.39,390 days,2010-03-31/7.2875,60.86%,60.86%,Rise by 127.76%,290.31%,
Buy,2012-09-30,14.88,2013-06-30,24.51,194 days,2012-06-30/13.3875,64.77%,64.77%,Rise by 106.45%,355.08%,
Buy,2013-09-30,25.88,2015-06-30,41.52,456 days,2013-06-30/24.51,60.46%,60.46%,Rise by 102.94%,415.55%,
Buy,2015-09-30,43.03,2020-03-31,30.66,1174 days,2015-06-30/41.52,-28.75%,-28.75%,Rise by 17.36%,386.80%,
Buy,2021-03-31,50.98,2021-12-31,40.01,197 days,2019-06-30/47.26,-21.52%,-21.52%,Rise by -21.52%,365.28%,
Buy,2023-03-31,51.79,2024-06-30,89.27,325 days,2021-03-31/50.98,72.37%,72.37%,Rise by 72.37%,437.65%,
