Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-03-01,6.15,2022-08-10,6.55,Buy,377 Days,-8.98,Rise by 6.5%,6.5%,6.5%
2021-10-05,6.365,2022-01-12,6.04,Buy,71 Days,-4.09,Rise by 1.73%,-5.11%,1.4%
2021-11-02,6.08,2022-04-12,5.97,Buy,115 Days,-5.06,Rise by 0.16%,-1.81%,-0.41%
2022-02-01,5.55,2022-08-10,6.55,Buy,136 Days,-5.72,Rise by 9.37%,18.02%,17.61%
2022-03-01,5.76,2022-04-12,5.97,Buy,30 Days,-4.03,Rise by 1.74%,3.65%,21.25%
2022-06-01,5.63,2022-08-10,6.55,Buy,50 Days,-3.75,Rise by 2.66%,16.34%,37.59%
2022-06-14,5.36,2022-07-22,5.85,Buy,28 Days,-3.23,Rise by 8.21%,9.14%,46.74%
2022-10-03,5.57,2023-01-25,5.93,Buy,82 Days,-5.93,Rise by 4.49%,6.46%,53.2%
2022-10-17,5.09,2023-01-25,5.93,Buy,72 Days,-3.72,Rise by 14.34%,16.5%,69.7%
2023-11-01,5.675,2024-02-28,6.94,Buy,85 Days,-6.99,Rise by 8.19%,22.29%,91.99%
2024-05-01,6.34,2024-07-23,6.91,Buy,59 Days,-3.71,Rise by 2.52%,8.99%,100.98%
2024-09-02,6.3,2025-07-15,6.185,Buy,226 Days,-5.6,Rise by 2.38%,-1.83%,99.16%
2024-09-13,6.15,2024-10-23,6.86,Buy,28 Days,-3.08,Rise by 4.88%,11.54%,110.7%
2024-12-02,6.56,2025-02-11,6.39,Buy,51 Days,-3.3,Rise by -12.8%,-2.59%,108.11%
2025-01-03,5.76,2025-07-15,6.185,Buy,137 Days,-7.74,Rise by 5.03%,7.38%,115.49%
2025-04-01,5.67,2025-07-15,6.185,Buy,75 Days,-7.68,Rise by 4.06%,9.08%,124.57%
