Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2022-01-23,7.54,2022-01-30,6.75,Sell,4 Days,-25.76,Fall by 13.26%,10.48%,10.48%
2023-06-11,7.49,2024-01-14,9.26,Buy,154 Days,20.25,Rise by 5.74%,23.63%,34.11%
2025-01-19,11.53,2025-01-26,12.34,Sell,4 Days,-15.14,Fall by 6.76%,-7.03%,27.08%
2025-07-06,13.6,2025-07-06,13.6,Buy,0 Days,11.9,Rise by 0%,0.0%,27.08%
