Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-03-04,155.83,2021-07-15,180.23,Buy,95 Days,-3.89,Rise by 8.84%,15.66%,15.66%
2022-05-02,165.26,2022-08-19,167.53,Buy,79 Days,-5.56,Rise by -11.93%,1.37%,17.03%
2022-05-12,146.55,2022-08-19,167.53,Buy,71 Days,-5.46,Rise by 7.55%,14.32%,31.35%
2022-05-24,137.82,2022-07-27,154.1,Buy,46 Days,-3.91,Rise by 14.36%,11.81%,43.16%
2022-10-03,142.59,2023-02-07,151.48,Buy,91 Days,-7.92,Rise by 0.08%,6.23%,49.39%
2022-10-14,135.27,2023-02-07,151.48,Buy,82 Days,-3.35,Rise by 8.35%,11.98%,61.38%
2022-11-01,142.57,2023-02-07,151.48,Buy,70 Days,-7.66,Rise by 1.77%,6.25%,67.63%
2025-03-03,211.98,2025-05-23,210.65,Buy,59 Days,-3.19,Rise by -2.86%,-0.63%,67.0%
2025-03-14,196.7,2025-05-23,210.65,Buy,50 Days,-3.78,Rise by 4.69%,7.09%,74.09%
2025-04-01,199.52,2025-07-31,221.43,Buy,87 Days,-9.82,Rise by -11.62%,10.98%,85.07%
