Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-03-01,59.65,2021-08-25,68.71,Buy,127 Days,-3.99,Rise by 6.1%,15.19%,15.19%
2021-10-01,63.88,2022-03-11,70.43,Buy,115 Days,-6.92,Rise by 3.12%,10.25%,25.44%
2022-10-03,67.43,2023-12-19,63.59,Buy,316 Days,-8.7,Rise by -4.18%,-5.69%,19.75%
2022-10-13,63.06,2023-04-17,69.27,Buy,132 Days,-4.85,Rise by 6.9%,9.85%,29.6%
2022-11-04,67.09,2023-04-17,69.27,Buy,116 Days,-3.43,Rise by 5.74%,3.25%,32.84%
2023-03-01,63.93,2023-12-19,63.59,Buy,209 Days,-9.46,Rise by 5.77%,-0.53%,32.31%
2023-06-01,64.45,2023-12-19,63.59,Buy,143 Days,-6.65,Rise by 3.62%,-1.33%,30.98%
2023-09-01,62.64,2023-12-19,63.59,Buy,77 Days,-7.86,Rise by 4.12%,1.52%,32.49%
2023-10-02,56.19,2024-05-21,72.87,Buy,166 Days,-8.24,Rise by 6.0%,29.68%,62.18%
2024-07-01,67.67,2024-09-27,80.42,Buy,64 Days,-5.85,Rise by 5.31%,18.84%,81.02%
2025-01-02,76.27,2025-02-26,79.8,Buy,39 Days,-3.29,Rise by 4.96%,4.63%,85.65%
2025-04-04,74.53,2025-06-06,81.19,Buy,45 Days,-3.72,Rise by 4.24%,8.94%,94.59%
